 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2722.550,255,26.931,25.274,26.931,25.274,0.135,1.066,0.938,1.000
2,2722.550,255,26.931,25.274,26.931,25.274,0.135,1.066,0.938,1.000
3,2722.550,255,26.931,25.274,26.931,25.274,0.135,1.066,0.938,1.000
4,0.172,0,32.938,16.366,32.938,16.366,1.000,1.000,1.000,1.000
5,5.493,0,30.064,16.573,30.064,16.573,0.195,1.210,0.827,0.110
6,12.360,0,30.142,16.878,30.142,16.878,0.168,1.275,0.784,0.242
7,21.629,0,29.108,18.664,29.108,18.664,0.399,1.264,0.791,0.692
8,24.548,0,28.508,20.303,28.508,20.303,0.392,1.190,0.841,0.588
9,29.011,0,27.383,22.301,27.383,22.301,0.338,1.264,0.791,0.585
10,26.951,0,26.621,23.620,26.621,23.620,0.472,1.246,0.802,0.550
11,26.436,0,26.301,24.060,26.301,24.060,0.466,1.112,0.899,0.646
12,25.406,0,26.315,24.490,26.315,24.490,0.461,1.196,0.836,0.529
13,33.646,0,25.897,24.735,25.897,24.735,0.432,1.147,0.872,0.603
14,31.242,0,26.186,24.821,26.186,24.821,0.331,1.246,0.803,0.548
15,36.736,0,25.794,25.570,25.794,25.570,0.511,1.630,0.614,0.699
16,34.504,0,25.380,25.792,25.380,25.792,0.604,1.634,0.612,0.730
17,35.019,0,25.556,26.506,25.556,26.506,0.485,1.834,0.545,0.749
18,34.161,0,26.145,26.245,26.145,26.245,0.577,1.696,0.590,0.812
19,34.332,0,26.320,26.320,26.320,26.320,0.764,1.560,0.641,0.891
20,34.504,0,26.377,26.629,26.377,26.629,0.660,1.464,0.683,0.812
21,35.534,0,27.146,27.522,27.146,27.522,0.453,1.386,0.722,0.680
22,36.221,0,27.774,27.784,27.774,27.784,0.472,1.336,0.749,0.694
23,35.706,0,28.008,27.821,28.008,27.821,0.586,1.046,0.956,0.795
24,34.504,0,27.884,27.773,27.884,27.773,0.684,1.222,0.819,0.861
25,31.757,0,27.698,27.911,27.698,27.911,0.707,1.230,0.813,0.864
26,29.354,0,27.560,27.976,27.560,27.976,0.635,1.258,0.795,0.779
27,26.608,0,27.232,28.164,27.232,28.164,0.655,1.221,0.819,0.756
28,25.749,0,26.674,28.585,26.674,28.585,0.903,1.144,0.874,0.901
29,24.548,0,26.138,28.653,26.138,28.653,0.916,1.123,0.891,0.914
30,24.033,0,25.895,28.857,25.895,28.857,0.932,1.126,0.888,0.927
31,24.204,0,25.431,28.922,25.431,28.922,0.807,1.130,0.885,0.847
