 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2113.495,255,22.373,23.616,22.373,23.616,0.135,1.056,0.947,1.000
2,2113.495,255,22.373,23.616,22.373,23.616,0.135,1.056,0.947,1.000
3,2113.495,255,22.373,23.616,22.373,23.616,0.135,1.056,0.947,1.000
4,2113.495,255,22.373,23.616,22.373,23.616,0.135,1.056,0.947,1.000
5,0.515,0,26.447,26.586,26.447,26.586,1.000,1.464,0.683,0.857
6,2.747,0,25.403,32.343,25.403,32.343,0.256,1.602,0.624,0.142
7,8.411,0,26.233,30.562,26.233,30.562,0.192,1.821,0.549,0.215
8,15.621,0,24.115,29.988,24.115,29.988,0.110,1.449,0.690,0.174
9,20.084,0,23.986,29.666,23.986,29.666,0.108,1.255,0.797,0.241
10,26.951,0,24.417,29.268,24.417,29.268,0.144,1.403,0.713,0.374
11,26.779,0,24.926,28.803,24.926,28.803,0.137,1.726,0.579,0.387
12,35.706,0,24.550,29.012,24.550,29.012,0.274,1.996,0.501,0.631
13,35.877,0,23.689,28.651,23.689,28.651,0.380,1.749,0.572,0.701
14,34.847,0,24.056,28.289,24.056,28.289,0.578,1.710,0.585,0.799
15,37.937,0,24.781,28.085,24.781,28.085,0.499,2.094,0.477,0.826
16,37.422,0,25.207,29.569,25.207,29.569,0.491,1.719,0.582,0.769
17,36.221,0,24.381,29.673,24.381,29.673,0.414,1.748,0.572,0.688
18,35.362,0,23.858,29.541,23.858,29.541,0.387,1.680,0.595,0.628
19,33.989,0,23.708,29.000,23.708,29.000,0.490,1.553,0.644,0.754
20,35.706,0,23.680,29.325,23.680,29.325,0.417,1.402,0.713,0.658
21,36.392,0,23.444,29.256,23.444,29.256,0.630,1.476,0.678,0.831
22,34.161,0,22.351,29.457,22.351,29.457,0.553,1.307,0.765,0.704
23,32.101,0,22.027,29.241,22.027,29.241,0.533,1.269,0.788,0.676
24,32.444,0,21.846,29.501,21.846,29.501,0.410,1.333,0.750,0.624
25,29.526,0,20.945,29.903,20.945,29.903,0.490,1.456,0.687,0.622
26,32.444,0,20.213,29.931,20.213,29.931,0.468,1.560,0.641,0.546
27,32.787,0,19.852,29.398,19.852,29.398,0.417,1.787,0.559,0.536
28,32.444,0,19.606,29.135,19.606,29.135,0.457,1.701,0.588,0.538
29,31.071,0,19.284,29.594,19.284,29.594,0.507,1.824,0.548,0.554
30,31.414,0,19.300,29.300,19.300,29.300,0.534,1.610,0.621,0.540
31,32.444,0,17.543,30.341,17.543,30.341,0.379,2.263,0.442,0.539
