 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2722.550,255,26.931,25.274,26.931,25.274,0.135,1.066,0.938,1.000
2,2722.550,255,26.931,25.274,26.931,25.274,0.135,1.066,0.938,1.000
3,2722.550,255,26.931,25.274,26.931,25.274,0.135,1.066,0.938,1.000
4,2722.550,255,26.931,25.274,26.931,25.274,0.135,1.066,0.938,1.000
5,0.172,0,32.938,22.580,32.938,22.580,1.000,1.000,1.000,1.000
6,1.030,0,31.212,24.376,31.212,24.376,0.809,2.237,0.447,0.857
7,7.553,0,32.986,25.330,32.986,25.330,0.137,1.489,0.671,0.129
8,14.763,0,33.483,24.859,33.483,24.859,0.190,1.333,0.750,0.377
9,18.368,0,33.268,25.326,33.268,25.326,0.192,1.416,0.706,0.364
10,23.861,0,33.651,25.707,33.651,25.707,0.127,1.454,0.688,0.444
11,35.191,0,33.662,26.081,33.662,26.081,0.176,1.889,0.529,0.537
12,40.340,0,33.275,25.879,33.275,25.879,0.174,1.990,0.502,0.647
13,43.774,0,32.388,26.095,32.388,26.095,0.463,1.954,0.512,0.539
14,40.340,0,31.808,26.031,31.808,26.031,0.473,2.274,0.440,0.663
15,39.825,0,31.628,25.866,31.628,25.866,0.430,2.144,0.466,0.757
16,40.855,0,31.088,26.269,31.088,26.269,0.451,1.990,0.503,0.774
17,43.774,0,30.451,26.662,30.451,26.662,0.328,1.316,0.760,0.630
18,46.349,0,30.413,26.544,30.413,26.544,0.289,1.259,0.795,0.498
19,42.229,0,30.122,26.601,30.122,26.601,0.345,1.282,0.780,0.671
20,41.714,0,29.933,26.589,29.933,26.589,0.422,1.183,0.845,0.688
21,44.460,0,29.798,26.816,29.798,26.816,0.340,1.120,0.893,0.557
22,41.542,0,29.696,26.866,29.696,26.866,0.420,1.051,0.951,0.739
23,41.714,0,29.430,26.904,29.430,26.904,0.433,1.081,0.925,0.689
24,41.714,0,29.060,27.090,29.060,27.090,0.445,1.107,0.903,0.734
25,42.572,0,28.822,27.203,28.822,27.203,0.393,1.090,0.918,0.696
26,44.117,0,28.626,27.090,28.626,27.090,0.337,1.245,0.803,0.479
27,39.654,0,28.437,27.095,28.437,27.095,0.390,1.118,0.894,0.691
28,39.139,0,28.157,26.991,28.157,26.991,0.352,1.083,0.924,0.672
29,40.512,0,27.754,27.003,27.754,27.003,0.336,1.048,0.954,0.551
30,38.795,0,26.898,27.202,26.898,27.202,0.353,1.202,0.832,0.540
31,37.766,0,26.769,26.961,26.769,26.961,0.392,1.147,0.872,0.501
