 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
2,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
3,3.433,0,31.613,16.594,31.613,16.594,0.502,1.769,0.565,0.078
4,8.583,0,28.290,15.131,28.290,15.131,0.166,1.157,0.864,0.122
5,13.390,0,28.817,15.882,28.817,15.882,0.129,1.439,0.695,0.256
6,21.973,0,30.177,20.010,30.177,20.010,0.441,1.896,0.527,0.692
7,27.294,0,29.911,23.787,29.911,23.787,0.552,1.949,0.513,0.752
8,24.376,0,28.807,25.522,28.807,25.522,0.647,1.900,0.526,0.802
9,25.749,0,26.453,26.425,26.453,26.425,0.677,1.971,0.507,0.843
10,23.861,0,25.519,26.148,25.519,26.148,0.558,1.542,0.648,0.779
11,26.608,0,23.700,25.491,23.700,25.491,0.449,2.320,0.431,0.721
12,24.548,0,20.964,24.707,20.964,24.707,0.592,1.853,0.540,0.794
13,26.608,0,20.741,24.465,20.741,24.465,0.575,1.648,0.607,0.803
14,26.093,0,20.574,24.390,20.574,24.390,0.819,1.303,0.767,0.894
15,26.436,0,20.625,24.222,20.625,24.222,0.613,1.227,0.815,0.794
16,26.951,0,20.351,24.079,20.351,24.079,0.810,1.353,0.739,0.882
17,24.033,0,19.917,24.131,19.917,24.131,0.864,1.196,0.836,0.895
18,24.033,0,20.000,23.924,20.000,23.924,0.851,1.205,0.830,0.895
19,21.458,0,19.839,24.185,19.839,24.185,0.952,1.063,0.940,0.929
20,22.488,0,19.674,24.295,19.674,24.295,0.931,1.083,0.924,0.919
21,20.428,0,19.534,24.447,19.534,24.447,0.961,1.005,0.995,0.926
22,20.256,0,19.508,24.508,19.508,24.508,0.964,1.013,0.988,0.937
23,20.943,0,19.405,24.475,19.405,24.475,0.968,1.071,0.934,0.946
24,20.771,0,19.427,24.734,19.427,24.734,0.948,1.035,0.966,0.924
25,20.084,0,19.319,24.776,19.319,24.776,0.944,1.018,0.982,0.918
26,20.771,0,19.276,24.885,19.276,24.885,0.948,1.079,0.926,0.924
27,20.599,0,19.131,25.066,19.131,25.066,0.941,1.037,0.964,0.920
28,20.428,0,19.064,25.045,19.064,25.045,0.961,1.104,0.905,0.926
29,20.428,0,19.067,25.080,19.067,25.080,0.933,1.091,0.916,0.919
30,19.741,0,19.021,25.200,19.021,25.200,0.969,1.106,0.904,0.935
31,20.428,0,19.179,25.146,19.179,25.146,0.823,1.881,0.532,0.279
