 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,25.578,0,24.972,29.318,24.972,29.318,0.121,1.064,0.940,0.314
2,67.978,0,25.393,30.728,25.393,30.728,0.162,1.159,0.863,0.366
3,90.981,0,25.846,32.341,25.846,32.341,0.122,1.200,0.833,0.548
4,101.795,0,27.161,32.730,27.161,32.730,0.136,1.157,0.864,0.585
5,99.049,0,28.078,32.215,28.078,32.215,0.193,1.037,0.965,0.704
6,96.302,0,28.013,31.109,28.013,31.109,0.190,1.165,0.859,0.576
7,90.981,0,26.438,30.718,26.438,30.718,0.242,1.059,0.944,0.430
8,94.585,0,25.451,30.968,25.451,30.968,0.211,1.291,0.774,0.493
9,100.250,0,25.342,31.476,25.342,31.476,0.178,1.189,0.841,0.536
10,101.109,0,26.017,31.511,26.017,31.511,0.188,1.239,0.807,0.602
11,98.019,0,26.140,31.085,26.140,31.085,0.214,1.388,0.720,0.536
12,93.212,0,25.801,30.202,25.801,30.202,0.296,1.408,0.710,0.543
13,94.414,0,25.652,30.325,25.652,30.325,0.173,1.255,0.797,0.538
14,94.414,0,25.705,30.607,25.705,30.607,0.213,1.270,0.787,0.545
15,92.354,0,25.098,30.031,25.098,30.031,0.272,1.369,0.730,0.618
16,94.070,0,25.510,30.240,25.510,30.240,0.255,1.393,0.718,0.522
17,86.861,0,25.167,30.535,25.167,30.535,0.385,1.386,0.721,0.747
18,93.040,0,25.168,30.649,25.168,30.649,0.356,1.268,0.788,0.698
19,87.032,0,25.193,30.397,25.193,30.397,0.433,1.294,0.773,0.720
20,85.831,0,24.687,30.558,24.687,30.558,0.394,1.368,0.731,0.526
21,83.771,0,24.668,30.623,24.668,30.623,0.451,1.318,0.759,0.703
22,74.844,0,24.854,30.832,24.854,30.832,0.586,1.424,0.702,0.621
23,66.605,0,24.969,30.841,24.969,30.841,0.560,1.436,0.696,0.825
24,68.321,0,25.175,31.032,25.175,31.032,0.415,1.432,0.698,0.633
25,62.828,0,24.996,31.072,24.996,31.072,0.509,1.434,0.697,0.660
26,63.858,0,25.270,30.977,25.270,30.977,0.511,1.311,0.763,0.683
27,64.545,0,25.515,30.705,25.515,30.705,0.361,1.246,0.802,0.462
28,64.716,0,25.621,30.919,25.621,30.919,0.402,1.244,0.804,0.645
29,67.463,0,25.071,30.862,25.071,30.862,0.450,1.401,0.714,0.716
30,67.291,0,26.156,30.903,26.156,30.903,0.467,1.034,0.967,0.628
31,70.381,0,25.605,30.339,25.605,30.339,0.405,1.103,0.907,0.691
