 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,15.450,0,34.596,24.574,34.596,24.574,0.130,1.486,0.673,0.236
2,23.689,0,34.980,24.922,34.980,24.922,0.230,1.146,0.873,0.433
3,4.120,0,36.719,25.722,36.719,25.722,0.219,1.557,0.642,0.147
4,44.117,0,35.563,25.353,35.563,25.353,0.501,1.120,0.893,0.775
5,56.477,0,35.445,24.924,35.445,24.924,0.419,1.077,0.928,0.807
6,60.425,0,35.135,24.823,35.135,24.823,0.564,1.149,0.871,0.838
7,63.171,0,34.563,25.454,34.563,25.454,0.375,1.191,0.840,0.467
8,58.193,0,33.441,26.364,33.441,26.364,0.463,1.015,0.985,0.406
9,57.850,0,33.376,27.220,33.376,27.220,0.461,1.123,0.890,0.722
10,56.133,0,33.202,27.552,33.202,27.552,0.402,1.498,0.667,0.306
11,49.438,0,33.207,28.085,33.207,28.085,0.558,1.266,0.790,0.730
12,48.065,0,32.907,29.063,32.907,29.063,0.357,1.303,0.768,0.667
13,49.953,0,32.096,29.494,32.096,29.494,0.401,1.600,0.625,0.729
14,50.812,0,31.612,29.950,31.612,29.950,0.417,1.434,0.698,0.696
15,49.095,0,31.052,30.700,31.052,30.700,0.471,1.479,0.676,0.627
16,55.962,0,31.055,31.735,31.055,31.735,0.351,1.831,0.546,0.642
17,57.678,0,30.179,32.421,30.179,32.421,0.431,2.379,0.420,0.646
18,58.022,0,29.900,32.620,29.900,32.620,0.449,2.668,0.375,0.725
19,54.417,0,29.267,33.193,29.267,33.193,0.418,2.599,0.385,0.671
20,57.850,0,29.417,33.203,29.417,33.203,0.334,2.786,0.359,0.588
21,57.335,0,29.093,33.464,29.093,33.464,0.367,2.976,0.336,0.653
22,59.910,0,29.408,32.978,29.408,32.978,0.320,3.130,0.319,0.643
23,57.678,0,29.185,33.088,29.185,33.088,0.365,2.737,0.365,0.342
24,51.670,0,29.318,33.291,29.318,33.291,0.402,2.657,0.376,0.667
25,48.065,0,29.489,32.961,29.489,32.961,0.409,2.751,0.364,0.617
26,45.490,0,29.421,33.001,29.421,33.001,0.407,2.840,0.352,0.667
27,46.520,0,29.373,32.990,29.373,32.990,0.388,2.316,0.432,0.272
28,48.237,0,29.593,32.844,29.593,32.844,0.448,2.693,0.371,0.714
29,48.065,0,29.545,32.737,29.545,32.737,0.430,2.780,0.360,0.692
30,48.409,0,29.524,32.953,29.524,32.953,0.473,2.495,0.401,0.692
31,47.207,0,29.487,33.100,29.487,33.100,0.364,2.490,0.402,0.594
