 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,1.888,0,22.882,19.153,22.882,19.153,0.409,4.966,0.201,0.134
2,3.777,0,19.812,18.814,19.812,18.814,0.155,1.778,0.562,0.063
3,9.613,0,20.694,16.832,20.694,16.832,0.137,1.230,0.813,0.100
4,19.398,0,21.228,17.389,21.228,17.389,0.234,1.187,0.843,0.441
5,24.891,0,20.957,18.114,20.957,18.114,0.352,1.591,0.628,0.690
6,28.496,0,20.781,18.946,20.781,18.946,0.517,1.417,0.706,0.755
7,31.071,0,20.626,18.396,20.626,18.396,0.388,1.104,0.906,0.530
8,30.556,0,19.904,18.905,19.904,18.905,0.512,1.251,0.799,0.725
9,32.616,0,20.210,18.869,20.210,18.869,0.571,1.272,0.786,0.709
10,28.152,0,20.062,19.165,20.062,19.165,0.626,1.237,0.808,0.745
11,31.929,0,20.201,19.994,20.201,19.994,0.522,1.234,0.811,0.653
12,30.556,0,20.181,19.932,20.181,19.932,0.498,1.038,0.963,0.637
13,33.646,0,20.145,20.021,20.145,20.021,0.574,1.107,0.903,0.827
14,34.504,0,19.787,20.220,19.787,20.220,0.514,1.170,0.855,0.743
15,33.474,0,19.423,20.207,19.423,20.207,0.542,1.126,0.888,0.536
16,33.646,0,18.976,21.268,18.976,21.268,0.550,1.107,0.904,0.792
17,31.071,0,18.737,21.077,18.737,21.077,0.758,1.140,0.877,0.892
18,30.384,0,18.805,21.295,18.805,21.295,0.504,1.073,0.932,0.755
19,29.526,0,18.673,21.745,18.673,21.745,0.721,1.017,0.983,0.873
20,29.697,0,18.792,21.967,18.792,21.967,0.637,1.107,0.904,0.783
21,27.466,0,18.691,21.990,18.691,21.990,0.845,1.093,0.915,0.896
22,25.749,0,18.948,21.487,18.948,21.487,0.642,1.148,0.871,0.679
23,27.809,0,18.289,21.066,18.289,21.066,0.637,1.209,0.827,0.594
24,26.608,0,17.499,21.156,17.499,21.156,0.756,1.144,0.874,0.791
25,25.749,0,17.238,21.260,17.238,21.260,0.936,1.124,0.890,0.926
26,24.033,0,17.653,21.625,17.653,21.625,0.842,1.111,0.900,0.897
27,21.801,0,18.522,22.326,18.522,22.326,0.805,1.223,0.818,0.481
28,24.376,0,18.747,22.473,18.747,22.473,0.517,1.202,0.832,0.523
29,23.174,0,18.539,21.730,18.539,21.730,0.526,1.207,0.828,0.756
30,24.204,0,19.001,21.722,19.001,21.722,0.880,1.023,0.977,0.907
31,23.861,0,19.007,22.104,19.007,22.104,0.669,1.184,0.845,0.832
