 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,29.526,0,25.343,16.802,25.343,16.802,0.368,1.970,0.508,0.416
2,35.877,0,25.943,16.461,25.943,16.461,0.555,2.047,0.488,0.748
3,29.697,0,25.502,16.428,25.502,16.428,0.493,2.090,0.479,0.688
4,35.877,0,25.136,16.498,25.136,16.498,0.706,1.767,0.566,0.833
5,36.049,0,24.995,16.405,24.995,16.405,0.565,1.398,0.715,0.784
6,43.945,0,24.341,16.557,24.341,16.557,0.419,1.038,0.963,0.706
7,45.319,0,24.178,16.582,24.178,16.582,0.372,1.151,0.869,0.688
8,42.915,0,24.327,16.830,24.327,16.830,0.352,1.230,0.813,0.583
9,43.259,0,24.124,17.387,24.124,17.387,0.317,1.466,0.682,0.661
10,44.975,0,23.732,17.604,23.732,17.604,0.490,1.538,0.650,0.725
11,44.460,0,23.585,18.097,23.585,18.097,0.418,1.550,0.645,0.710
12,46.005,0,23.386,18.182,23.386,18.182,0.409,1.930,0.518,0.767
13,44.460,0,23.491,18.391,23.491,18.391,0.555,1.956,0.511,0.820
14,46.177,0,23.255,18.348,23.255,18.348,0.379,1.822,0.549,0.690
15,46.692,0,23.179,18.332,23.179,18.332,0.490,2.036,0.491,0.768
16,45.662,0,23.013,18.394,23.013,18.394,0.441,1.925,0.520,0.603
17,47.207,0,22.989,18.534,22.989,18.534,0.383,1.817,0.550,0.482
18,42.744,0,23.166,18.061,23.166,18.061,0.534,2.047,0.489,0.770
19,35.019,0,23.643,17.781,23.643,17.781,0.563,1.906,0.525,0.806
20,29.182,0,23.865,17.121,23.865,17.121,0.644,1.657,0.604,0.783
21,22.316,0,24.292,16.407,24.292,16.407,0.671,1.347,0.742,0.844
22,23.003,0,24.606,16.168,24.606,16.168,0.561,1.032,0.969,0.324
23,23.861,0,24.417,16.258,24.417,16.258,0.537,1.473,0.679,0.678
24,22.316,0,24.391,16.171,24.391,16.171,0.889,1.194,0.838,0.919
25,25.234,0,24.624,16.397,24.624,16.397,0.621,1.336,0.748,0.784
26,28.496,0,24.652,16.458,24.652,16.458,0.599,1.473,0.679,0.802
27,27.981,0,24.428,15.908,24.428,15.908,0.649,1.348,0.742,0.881
28,26.264,0,24.354,15.870,24.354,15.870,0.682,1.689,0.592,0.872
29,26.264,0,24.709,16.033,24.709,16.033,0.563,1.647,0.607,0.575
30,29.011,0,24.794,15.657,24.794,15.657,0.481,1.830,0.547,0.431
31,31.071,0,24.739,16.153,24.739,16.153,0.512,1.729,0.578,0.740
