 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,1.030,0,27.621,31.626,27.621,31.626,1.000,1.291,0.775,0.800
2,2.060,0,27.932,31.419,27.932,31.419,0.623,4.400,0.227,0.300
3,0.687,0,28.174,31.488,28.174,31.488,1.000,1.000,1.000,1.000
4,10.815,0,27.322,30.841,27.322,30.841,0.304,1.448,0.691,0.291
5,19.913,0,28.088,30.556,28.088,30.556,0.217,1.347,0.742,0.383
6,22.144,0,27.395,30.013,27.395,30.013,0.179,1.611,0.621,0.402
7,23.003,0,27.611,29.772,27.611,29.772,0.182,1.471,0.680,0.373
8,30.384,0,27.445,29.465,27.445,29.465,0.216,1.619,0.618,0.540
9,31.929,0,27.684,29.330,27.684,29.330,0.159,1.081,0.925,0.356
10,36.049,0,27.801,28.957,27.801,28.957,0.219,1.243,0.804,0.604
11,43.945,0,27.653,28.758,27.653,28.758,0.301,1.163,0.860,0.742
12,47.207,0,27.929,28.744,27.929,28.744,0.400,1.129,0.886,0.647
13,45.662,0,27.949,28.887,27.949,28.887,0.570,1.148,0.871,0.834
14,44.975,0,28.082,28.640,28.082,28.640,0.592,1.098,0.911,0.807
15,44.117,0,28.300,28.526,28.300,28.526,0.556,1.243,0.805,0.807
16,47.207,0,28.135,28.404,28.135,28.404,0.545,1.236,0.809,0.809
17,46.864,0,28.194,28.229,28.194,28.229,0.521,1.194,0.837,0.845
18,45.147,0,28.110,28.269,28.110,28.269,0.523,1.197,0.836,0.862
19,44.632,0,27.873,28.314,27.873,28.314,0.676,1.100,0.909,0.864
20,45.662,0,28.105,28.238,28.105,28.238,0.535,1.074,0.931,0.862
21,44.632,0,28.185,28.510,28.185,28.510,0.514,1.135,0.881,0.686
22,44.289,0,28.031,28.373,28.031,28.373,0.557,1.234,0.810,0.842
23,44.289,0,28.222,28.322,28.222,28.322,0.489,1.244,0.804,0.834
24,47.207,0,28.181,28.141,28.181,28.141,0.616,1.248,0.801,0.874
25,44.975,0,27.967,28.011,27.967,28.011,0.666,1.142,0.876,0.859
26,42.915,0,27.912,27.973,27.912,27.973,0.757,1.170,0.855,0.879
27,41.199,0,27.749,27.953,27.749,27.953,0.817,1.198,0.835,0.909
28,42.572,0,27.840,28.087,27.840,28.087,0.719,1.109,0.902,0.897
29,43.259,0,27.817,28.202,27.817,28.202,0.662,1.082,0.925,0.881
30,44.632,0,27.761,28.070,27.761,28.070,0.748,1.033,0.968,0.906
31,44.289,0,27.621,28.151,27.621,28.151,0.683,1.070,0.935,0.872
