 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,11.158,0,25.844,30.714,25.844,30.714,0.112,1.331,0.751,0.143
2,22.659,0,24.731,30.057,24.731,30.057,0.064,1.488,0.672,0.187
3,9.785,0,25.234,30.838,25.234,30.838,0.122,1.342,0.745,0.113
4,48.580,0,24.916,30.297,24.916,30.297,0.116,1.080,0.926,0.485
5,63.515,0,25.128,30.060,25.128,30.060,0.126,1.171,0.854,0.578
6,75.016,0,25.111,30.198,25.111,30.198,0.263,1.266,0.790,0.590
7,76.218,0,25.371,30.876,25.371,30.876,0.269,1.209,0.827,0.366
8,75.874,0,25.169,30.004,25.169,30.004,0.296,1.157,0.865,0.647
9,73.986,0,24.997,29.950,24.997,29.950,0.340,1.240,0.806,0.711
10,76.904,0,25.013,30.036,25.013,30.036,0.252,1.263,0.792,0.543
11,77.934,0,25.052,29.539,25.052,29.539,0.255,1.202,0.832,0.728
12,81.024,0,25.140,29.293,25.140,29.293,0.267,1.319,0.758,0.693
13,87.204,0,25.518,28.916,25.518,28.916,0.229,1.228,0.814,0.584
14,86.517,0,26.065,29.292,26.065,29.292,0.223,1.448,0.691,0.687
15,84.972,0,26.622,29.111,26.622,29.111,0.228,1.502,0.666,0.714
16,84.286,0,26.930,29.125,26.930,29.125,0.227,1.556,0.643,0.714
17,79.136,0,26.868,29.139,26.868,29.139,0.223,1.474,0.678,0.659
18,84.286,0,27.029,29.088,27.029,29.088,0.351,1.458,0.686,0.782
19,80.681,0,27.423,29.344,27.423,29.344,0.224,1.726,0.579,0.679
20,81.368,0,27.553,29.045,27.553,29.045,0.217,1.483,0.674,0.567
21,81.024,0,27.889,29.126,27.889,29.126,0.225,1.403,0.713,0.503
22,76.733,0,27.625,28.903,27.625,28.903,0.240,1.441,0.694,0.616
23,74.501,0,28.074,28.973,28.074,28.973,0.256,1.578,0.634,0.593
24,76.046,0,27.930,29.023,27.930,29.023,0.219,1.883,0.531,0.595
25,74.501,0,28.252,29.109,28.252,29.109,0.269,1.954,0.512,0.550
26,73.814,0,28.307,28.974,28.307,28.974,0.317,1.764,0.567,0.377
27,72.613,0,28.582,28.855,28.582,28.855,0.289,1.588,0.630,0.406
28,73.986,0,28.912,28.901,28.912,28.901,0.279,1.667,0.600,0.401
29,73.986,0,28.393,28.956,28.393,28.956,0.306,1.700,0.588,0.538
30,74.158,0,28.688,28.745,28.688,28.745,0.268,1.558,0.642,0.549
31,77.248,0,28.738,28.876,28.738,28.876,0.262,1.682,0.594,0.482
