 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,3151.703,255,28.174,27.967,28.174,27.967,0.135,1.007,0.993,1.000
2,3151.703,255,28.174,27.967,28.174,27.967,0.135,1.007,0.993,1.000
3,3151.703,255,28.174,27.967,28.174,27.967,0.135,1.007,0.993,1.000
4,3151.703,255,28.174,27.967,28.174,27.967,0.135,1.007,0.993,1.000
5,83.942,0,22.726,19.534,22.726,19.534,0.447,1.218,0.821,0.769
6,86.517,0,24.048,18.060,24.048,18.060,0.213,1.443,0.693,0.672
7,100.937,0,26.304,20.024,26.304,20.024,0.175,1.238,0.807,0.589
8,110.035,0,30.315,21.738,30.315,21.738,0.203,1.486,0.673,0.568
9,112.610,0,31.750,25.382,31.750,25.382,0.271,2.052,0.487,0.610
10,143.681,0,30.862,24.866,30.862,24.866,0.335,2.973,0.336,0.702
11,106.258,0,26.815,25.843,26.815,25.843,0.187,1.600,0.625,0.640
12,98.362,0,25.462,23.711,25.462,23.711,0.322,1.698,0.589,0.627
13,101.967,0,25.218,21.827,25.218,21.827,0.286,2.139,0.468,0.779
14,98.705,0,23.653,24.734,23.653,24.734,0.108,2.078,0.481,0.573
15,96.130,0,23.652,28.920,23.652,28.920,0.441,1.858,0.538,0.769
16,75.531,0,21.640,29.801,21.640,29.801,0.604,1.966,0.509,0.833
17,100.765,0,20.832,26.952,20.832,26.952,0.333,1.254,0.797,0.714
18,99.220,0,25.271,27.100,25.271,27.100,0.486,1.563,0.640,0.726
19,92.182,0,26.768,30.395,26.768,30.395,0.316,1.870,0.535,0.563
20,93.212,0,27.790,31.369,27.790,31.369,0.296,1.573,0.636,0.540
21,67.635,0,28.701,27.451,28.701,27.451,0.414,2.650,0.377,0.686
22,76.904,0,33.662,29.947,33.662,29.947,0.351,2.516,0.397,0.645
23,94.242,0,35.012,32.065,35.012,32.065,0.245,1.105,0.905,0.627
24,88.234,0,35.985,30.443,35.985,30.443,0.321,1.478,0.676,0.623
25,71.926,0,36.673,31.463,36.673,31.463,0.622,1.840,0.543,0.836
26,96.130,0,33.359,33.541,33.359,33.541,0.472,1.754,0.570,0.720
27,78.621,0,33.043,33.090,33.043,33.090,0.521,2.000,0.500,0.765
28,39.825,0,33.697,30.869,33.697,30.869,0.844,1.126,0.888,0.908
29,83.771,0,36.593,31.416,36.593,31.416,0.298,1.192,0.839,0.619
30,55.275,0,34.340,30.193,34.340,30.193,0.533,2.810,0.356,0.263
31,61.283,0,32.544,29.745,32.544,29.745,0.529,1.546,0.647,0.778
