 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
2,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
3,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
4,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
5,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
6,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
7,41.370,0,26.428,28.833,26.428,28.833,0.820,1.238,0.808,0.903
8,58.880,0,25.833,27.747,25.833,27.747,0.735,1.194,0.837,0.850
9,61.970,0,25.435,27.918,25.435,27.918,0.383,1.654,0.604,0.823
10,65.575,0,23.617,28.792,23.617,28.792,0.541,1.924,0.520,0.762
11,65.575,0,21.569,28.321,21.569,28.321,0.374,1.476,0.677,0.691
12,63.171,0,20.247,28.282,20.247,28.282,0.277,1.252,0.799,0.615
13,70.038,0,22.909,28.170,22.909,28.170,0.350,1.505,0.664,0.782
14,61.970,0,23.073,25.702,23.073,25.702,0.258,1.354,0.739,0.657
15,62.828,0,21.808,26.004,21.808,26.004,0.345,1.474,0.679,0.804
16,65.746,0,22.328,27.293,22.328,27.293,0.485,1.535,0.651,0.765
17,61.455,0,20.144,25.627,20.144,25.627,0.317,1.261,0.793,0.715
18,63.858,0,20.433,24.540,20.433,24.540,0.487,1.273,0.785,0.732
19,57.678,0,22.133,24.217,22.133,24.217,0.418,1.667,0.600,0.726
20,56.477,0,21.825,26.637,21.825,26.637,0.537,1.330,0.752,0.766
21,44.117,0,20.182,25.631,20.182,25.631,0.499,1.528,0.654,0.775
22,35.877,0,21.492,25.508,21.492,25.508,0.654,1.156,0.865,0.816
23,38.452,0,22.782,26.293,22.782,26.293,0.720,1.288,0.777,0.877
24,33.989,0,22.158,26.224,22.158,26.224,0.765,1.464,0.683,0.876
25,39.997,0,21.320,24.793,21.320,24.793,0.709,1.314,0.761,0.883
26,43.774,0,21.026,24.116,21.026,24.116,0.503,1.941,0.515,0.696
27,44.804,0,21.893,24.069,21.893,24.069,0.619,1.181,0.847,0.808
28,45.147,0,19.858,23.351,19.858,23.351,0.550,1.359,0.736,0.786
29,38.109,0,19.936,23.570,19.936,23.570,0.465,1.785,0.560,0.660
30,41.370,0,18.169,24.747,18.169,24.747,0.522,1.912,0.523,0.733
31,36.564,0,18.603,24.224,18.603,24.224,0.669,1.504,0.665,0.821
