 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,65.231,0,26.832,30.013,26.832,30.013,0.071,1.171,0.854,0.387
2,87.204,0,26.470,28.984,26.470,28.984,0.131,1.116,0.896,0.564
3,64.888,0,25.698,28.260,25.698,28.260,0.172,1.202,0.832,0.633
4,74.501,0,26.375,29.024,26.375,29.024,0.126,1.129,0.885,0.467
5,111.065,0,25.289,28.547,25.289,28.547,0.129,1.902,0.526,0.558
6,94.929,0,26.816,26.623,26.816,26.623,0.109,1.678,0.596,0.464
7,62.485,0,26.649,24.226,26.649,24.226,0.143,1.639,0.610,0.434
8,77.591,0,26.532,23.763,26.532,23.763,0.101,1.269,0.788,0.375
9,80.166,0,27.382,23.249,27.382,23.249,0.125,1.235,0.809,0.424
10,65.918,0,24.034,20.480,24.034,20.480,0.102,1.840,0.544,0.373
11,71.926,0,23.815,22.613,23.815,22.613,0.141,1.436,0.697,0.432
12,66.090,0,26.527,24.580,26.527,24.580,0.114,1.244,0.804,0.428
13,59.052,0,29.461,21.442,29.461,21.442,0.159,1.898,0.527,0.412
14,65.231,0,27.035,22.507,27.035,22.507,0.165,1.191,0.840,0.503
15,47.550,0,25.612,24.145,25.612,24.145,0.130,1.740,0.575,0.350
16,73.128,0,23.995,23.487,23.995,23.487,0.185,1.579,0.633,0.582
17,73.643,0,26.133,21.112,26.133,21.112,0.122,1.327,0.754,0.449
18,59.395,0,26.927,23.149,26.927,23.149,0.145,1.195,0.837,0.480
19,77.419,0,23.061,25.162,23.061,25.162,0.187,2.327,0.430,0.557
20,74.158,0,20.387,25.400,20.387,25.400,0.143,1.280,0.781,0.472
21,81.711,0,24.075,24.507,24.075,24.507,0.221,1.712,0.584,0.561
22,68.493,0,26.435,25.626,26.435,25.626,0.241,1.724,0.580,0.541
23,43.430,0,23.997,25.574,23.997,25.574,0.198,1.179,0.848,0.494
24,63.343,0,19.780,23.207,19.780,23.207,0.158,1.471,0.680,0.427
25,53.215,0,21.178,24.176,21.178,24.176,0.229,1.213,0.824,0.664
26,48.065,0,23.029,27.819,23.029,27.819,0.247,1.647,0.607,0.500
27,76.389,0,21.732,26.184,21.732,26.184,0.458,1.634,0.612,0.823
28,67.463,0,22.322,24.053,22.322,24.053,0.260,1.296,0.772,0.709
29,55.275,0,22.662,24.846,22.662,24.846,0.189,1.178,0.849,0.637
30,65.918,0,21.818,26.025,21.818,26.025,0.318,1.487,0.672,0.703
31,85.487,0,20.434,23.746,20.434,23.746,0.342,1.139,0.878,0.643
