 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,31.071,0,18.048,23.908,18.048,23.908,0.628,1.649,0.606,0.720
2,79.994,0,19.766,24.250,19.766,24.250,0.252,1.934,0.517,0.585
3,98.877,0,21.548,24.833,21.548,24.833,0.470,2.044,0.489,0.715
4,71.583,0,23.273,23.925,23.273,23.925,0.174,1.718,0.582,0.536
5,90.637,0,22.708,24.490,22.708,24.490,0.297,2.023,0.494,0.696
6,86.689,0,24.445,20.479,24.445,20.479,0.342,1.392,0.718,0.659
7,75.359,0,25.513,20.595,25.513,20.595,0.163,1.379,0.725,0.491
8,85.316,0,27.201,21.869,27.201,21.869,0.446,1.539,0.650,0.678
9,81.539,0,25.743,25.928,25.743,25.928,0.322,2.048,0.488,0.634
10,94.414,0,25.927,26.124,25.927,26.124,0.284,1.403,0.713,0.651
11,71.583,0,25.901,23.597,25.901,23.597,0.463,1.570,0.637,0.747
12,81.882,0,27.488,24.974,27.488,24.974,0.558,1.464,0.683,0.782
13,72.441,0,28.226,25.029,28.226,25.029,0.425,1.150,0.869,0.665
14,68.665,0,27.123,26.165,27.123,26.165,0.238,1.716,0.583,0.540
15,50.640,0,26.705,27.263,26.705,27.263,0.650,1.198,0.835,0.818
16,47.379,0,26.977,26.431,26.977,26.431,0.536,1.934,0.517,0.762
17,33.646,0,25.088,25.914,25.088,25.914,0.522,1.283,0.780,0.786
18,58.365,0,25.986,24.704,25.986,24.704,0.589,1.467,0.682,0.791
19,34.847,0,24.640,23.458,24.640,23.458,0.647,1.393,0.718,0.804
20,23.861,0,23.591,24.589,23.591,24.589,0.482,1.347,0.743,0.704
21,38.280,0,21.206,25.529,21.206,25.529,0.495,2.025,0.494,0.729
22,43.430,0,19.744,25.323,19.744,25.323,0.600,1.434,0.697,0.770
23,55.447,0,18.408,23.377,18.408,23.377,0.431,2.009,0.498,0.657
24,40.340,0,20.056,24.388,20.056,24.388,0.392,1.356,0.737,0.650
25,17.853,0,21.007,24.441,21.007,24.441,0.677,1.573,0.636,0.803
26,18.024,0,21.180,24.932,21.180,24.932,0.651,1.408,0.710,0.792
27,21.629,0,20.252,24.133,20.252,24.133,0.731,1.841,0.543,0.829
28,32.444,0,18.830,23.898,18.830,23.898,0.525,1.918,0.521,0.653
29,24.204,0,19.624,24.831,19.624,24.831,0.622,2.523,0.396,0.837
30,31.242,0,20.971,24.857,20.971,24.857,0.676,1.609,0.622,0.835
31,37.594,0,20.755,23.854,20.755,23.854,0.602,1.692,0.591,0.801
