 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2450.295,255,24.238,25.274,24.238,25.274,0.135,1.043,0.959,1.000
2,81.196,0,19.144,21.511,19.144,21.511,0.161,1.331,0.751,0.527
3,83.256,0,20.956,25.403,20.956,25.403,0.091,1.789,0.559,0.388
4,124.455,0,18.920,27.235,18.920,27.235,0.096,1.427,0.701,0.432
5,122.910,0,22.986,26.922,22.986,26.922,0.163,1.958,0.511,0.579
6,105.915,0,25.032,22.902,25.032,22.902,0.117,1.031,0.970,0.495
7,91.152,0,23.321,23.134,23.321,23.134,0.183,1.786,0.560,0.556
8,91.667,0,22.993,26.193,22.993,26.193,0.141,1.140,0.877,0.497
9,62.828,0,26.190,30.201,26.190,30.201,0.128,1.718,0.582,0.309
10,80.338,0,27.326,25.532,27.326,25.532,0.158,1.740,0.575,0.535
11,88.062,0,23.594,23.781,23.594,23.781,0.122,1.056,0.947,0.431
12,75.016,0,22.109,26.840,22.109,26.840,0.143,1.203,0.831,0.492
13,64.030,0,23.166,30.273,23.166,30.273,0.126,1.256,0.796,0.379
14,64.545,0,25.080,28.342,25.080,28.342,0.138,1.141,0.876,0.448
15,64.201,0,21.381,24.678,21.381,24.678,0.108,1.466,0.682,0.349
16,75.188,0,21.341,28.259,21.341,28.259,0.168,1.729,0.578,0.518
17,75.703,0,24.017,29.767,24.017,29.767,0.118,2.318,0.431,0.453
18,74.844,0,25.482,24.225,25.482,24.225,0.131,2.814,0.355,0.501
19,62.656,0,22.113,26.978,22.113,26.978,0.135,1.035,0.966,0.459
20,28.496,0,22.034,31.441,22.034,31.441,0.125,1.624,0.616,0.194
21,54.417,0,26.461,31.097,26.461,31.097,0.153,1.587,0.630,0.475
22,79.136,0,22.578,28.057,22.578,28.057,0.181,1.606,0.623,0.558
23,41.542,0,23.481,30.951,23.481,30.951,0.147,1.224,0.817,0.369
24,44.804,0,26.622,30.894,26.622,30.894,0.119,1.332,0.751,0.351
25,40.169,0,25.576,28.971,25.576,28.971,0.203,1.298,0.770,0.576
26,39.482,0,23.586,29.984,23.586,29.984,0.432,1.853,0.540,0.652
27,50.297,0,23.830,33.125,23.830,33.125,0.145,1.915,0.522,0.356
28,51.842,0,26.462,29.989,26.462,29.989,0.156,1.368,0.731,0.459
29,55.447,0,25.281,27.275,25.281,27.275,0.177,1.299,0.770,0.555
30,44.117,0,26.438,32.003,26.438,32.003,0.121,1.404,0.712,0.430
31,65.575,0,28.780,30.145,28.780,30.145,0.341,1.549,0.645,0.656
