 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
2,41.885,0,30.018,17.053,30.018,17.053,0.793,1.629,0.614,0.220
3,82.741,0,28.718,17.273,28.718,17.273,0.800,1.276,0.784,0.943
4,100.250,0,27.229,18.974,27.229,18.974,0.416,1.243,0.805,0.853
5,94.414,0,25.597,22.837,25.597,22.837,0.288,1.749,0.572,0.760
6,82.912,0,25.723,27.886,25.723,27.886,0.467,1.485,0.673,0.819
7,113.983,0,25.705,27.394,25.705,27.394,0.346,1.535,0.651,0.812
8,104.370,0,27.798,25.892,27.798,25.892,0.317,1.771,0.565,0.765
9,109.863,0,24.472,24.456,24.472,24.456,0.297,1.133,0.882,0.804
10,101.280,0,20.952,26.015,20.952,26.015,0.368,1.569,0.637,0.823
11,93.040,0,21.454,29.176,21.454,29.176,0.352,1.234,0.810,0.737
12,81.539,0,22.324,26.581,22.324,26.581,0.390,1.464,0.683,0.750
13,99.907,0,25.810,24.330,25.810,24.330,0.303,1.730,0.578,0.787
14,86.174,0,27.839,27.394,27.839,27.394,0.368,1.151,0.869,0.769
15,93.899,0,24.685,27.835,24.685,27.835,0.401,1.221,0.819,0.822
16,82.054,0,23.965,27.007,23.965,27.007,0.427,1.224,0.817,0.848
17,81.882,0,25.255,24.001,25.255,24.001,0.474,1.173,0.853,0.800
18,73.986,0,25.669,25.149,25.669,25.149,0.537,1.718,0.582,0.806
19,46.520,0,26.725,27.245,26.725,27.245,0.566,1.398,0.715,0.824
20,43.774,0,26.197,25.780,26.197,25.780,0.503,1.267,0.790,0.821
21,31.586,0,27.113,25.870,27.113,25.870,0.761,1.445,0.692,0.911
22,40.512,0,27.844,26.866,27.844,26.866,0.665,1.099,0.910,0.897
23,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
24,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
25,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
26,2510.548,255,25.895,24.238,25.895,24.238,0.135,1.068,0.936,1.000
27,0.172,0,51.583,20.509,51.583,20.509,1.000,1.000,1.000,1.000
28,22.316,0,21.487,31.074,21.487,31.074,0.619,1.131,0.884,0.785
29,44.975,0,21.813,30.729,21.813,30.729,0.506,2.359,0.424,0.764
30,56.133,0,21.362,33.273,21.362,33.273,0.854,1.141,0.877,0.929
31,52.528,0,19.163,32.485,19.163,32.485,0.587,1.316,0.760,0.772
