 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,75.703,0,20.270,20.062,20.270,20.062,0.307,1.403,0.713,0.687
2,80.338,0,19.857,21.895,19.857,21.895,0.194,1.800,0.556,0.533
3,126.343,0,20.615,21.835,20.615,21.835,0.225,1.395,0.717,0.690
4,115.013,0,21.593,22.841,21.593,22.841,0.272,1.847,0.541,0.593
5,143.166,0,21.821,23.069,21.821,23.069,0.195,1.085,0.922,0.658
6,136.986,0,21.418,24.355,21.418,24.355,0.222,1.146,0.873,0.578
7,138.702,0,21.876,23.209,21.876,23.209,0.225,1.236,0.809,0.651
8,136.642,0,21.569,21.638,21.569,21.638,0.220,1.216,0.822,0.689
9,115.013,0,20.304,23.425,20.304,23.425,0.218,1.531,0.653,0.631
10,136.642,0,21.780,25.442,21.780,25.442,0.234,1.291,0.774,0.691
11,144.196,0,22.029,24.180,22.029,24.180,0.286,1.384,0.723,0.808
12,107.460,0,20.876,24.324,20.876,24.324,0.323,1.737,0.576,0.730
13,102.997,0,21.175,22.787,21.175,22.787,0.321,1.776,0.563,0.692
14,105.572,0,21.406,24.267,21.406,24.267,0.295,1.617,0.619,0.674
15,101.280,0,22.054,24.226,22.054,24.226,0.371,1.627,0.615,0.779
16,65.231,0,20.452,24.471,20.452,24.471,0.267,1.770,0.565,0.618
17,78.106,0,21.747,24.059,21.747,24.059,0.304,1.866,0.536,0.549
18,88.921,0,20.374,24.876,20.374,24.876,0.342,1.610,0.621,0.708
19,79.136,0,17.824,24.884,17.824,24.884,0.296,1.250,0.800,0.714
20,63.686,0,18.471,25.325,18.471,25.325,0.346,1.604,0.624,0.654
21,70.038,0,17.072,27.502,17.072,27.502,0.422,1.872,0.534,0.711
22,80.338,0,18.026,24.944,18.026,24.944,0.326,1.440,0.694,0.748
23,62.485,0,16.581,25.665,16.581,25.665,0.634,1.181,0.847,0.876
24,55.275,0,15.774,28.450,15.774,28.450,0.545,1.746,0.573,0.724
25,87.204,0,16.787,24.938,16.787,24.938,0.363,1.414,0.707,0.780
26,45.147,0,15.936,25.963,15.936,25.963,0.465,1.420,0.704,0.711
27,32.787,0,14.737,27.661,14.737,27.661,0.562,2.070,0.483,0.804
28,65.231,0,13.547,27.487,13.547,27.487,0.564,1.390,0.719,0.221
29,70.038,0,17.351,28.304,17.351,28.304,0.452,1.494,0.670,0.766
30,58.880,0,16.752,27.607,16.752,27.607,0.548,1.720,0.581,0.789
31,68.321,0,13.683,24.161,13.683,24.161,0.476,2.230,0.448,0.755
