 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,15.450,0,23.340,16.798,23.340,16.798,0.345,3.713,0.269,0.625
2,88.234,0,23.126,14.554,23.126,14.554,0.148,1.035,0.966,0.373
3,160.332,0,24.361,15.503,24.361,15.503,0.137,1.385,0.722,0.572
4,195.694,0,23.368,16.663,23.368,16.663,0.159,1.159,0.863,0.622
5,160.675,0,24.344,17.973,24.344,17.973,0.159,1.115,0.897,0.561
6,152.779,0,26.616,18.886,26.616,18.886,0.206,1.243,0.804,0.577
7,171.146,0,27.246,19.056,27.246,19.056,0.193,1.169,0.855,0.653
8,150.547,0,28.682,19.938,28.682,19.938,0.201,1.225,0.816,0.583
9,134.754,0,28.130,19.467,28.130,19.467,0.167,1.241,0.805,0.567
10,149.345,0,28.298,18.945,28.298,18.945,0.266,1.184,0.844,0.680
11,154.324,0,26.685,19.066,26.685,19.066,0.221,1.130,0.885,0.694
12,134.411,0,25.938,18.517,25.938,18.517,0.256,1.053,0.949,0.684
13,110.207,0,25.940,17.640,25.940,17.640,0.267,1.428,0.700,0.605
14,135.098,0,28.460,17.963,28.460,17.963,0.278,1.318,0.759,0.643
15,142.651,0,28.397,21.858,28.397,21.858,0.266,1.379,0.725,0.699
16,126.343,0,26.076,24.485,26.076,24.485,0.364,1.699,0.588,0.701
17,113.468,0,24.578,24.231,24.578,24.231,0.246,1.161,0.862,0.634
18,127.373,0,26.931,20.975,26.931,20.975,0.288,1.198,0.834,0.711
19,90.981,0,29.190,19.882,29.190,19.882,0.409,2.023,0.494,0.657
20,102.997,0,28.185,26.869,28.185,26.869,0.350,1.256,0.796,0.612
21,97.504,0,24.016,29.955,24.016,29.955,0.487,1.700,0.588,0.779
22,107.632,0,21.200,28.300,21.200,28.300,0.526,1.226,0.816,0.811
23,73.128,0,22.863,27.778,22.863,27.778,0.527,1.944,0.515,0.759
24,44.975,0,23.906,28.958,23.906,28.958,0.343,2.342,0.427,0.561
25,75.703,0,24.366,27.793,24.366,27.793,0.241,1.536,0.651,0.580
26,64.888,0,20.291,25.588,20.291,25.588,0.375,1.790,0.559,0.519
27,74.158,0,20.963,27.434,20.963,27.434,0.445,2.262,0.442,0.722
28,68.150,0,23.292,31.081,23.292,31.081,0.360,2.086,0.479,0.502
29,76.904,0,25.153,32.037,25.153,32.037,0.354,1.814,0.551,0.593
30,94.414,0,21.774,30.593,21.774,30.593,0.374,1.966,0.509,0.692
31,83.084,0,21.871,27.367,21.871,27.367,0.425,1.895,0.528,0.635
