 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,3151.703,255,28.174,27.967,28.174,27.967,0.135,1.007,0.993,1.000
2,3151.703,255,28.174,27.967,28.174,27.967,0.135,1.007,0.993,1.000
3,61.455,0,40.136,26.098,40.136,26.098,0.272,1.505,0.664,0.531
4,78.964,0,40.855,27.431,40.855,27.431,0.260,1.631,0.613,0.625
5,99.220,0,41.409,28.864,41.409,28.864,0.266,1.239,0.807,0.739
6,87.376,0,41.947,27.858,41.947,27.858,0.275,1.712,0.584,0.634
7,95.615,0,39.817,27.646,39.817,27.646,0.229,1.200,0.834,0.221
8,85.144,0,40.792,30.287,40.792,30.287,0.341,1.434,0.697,0.675
9,82.741,0,42.385,29.411,42.385,29.411,0.371,1.759,0.568,0.659
10,13.390,0,42.611,28.291,42.611,28.291,0.347,3.343,0.299,0.333
11,67.120,0,42.129,29.337,42.129,29.337,0.260,1.584,0.631,0.541
12,77.763,0,41.993,30.941,41.993,30.941,0.502,1.779,0.562,0.765
13,76.046,0,41.314,30.744,41.314,30.744,0.445,2.151,0.465,0.209
14,75.359,0,42.558,28.147,42.558,28.147,0.409,1.651,0.606,0.707
15,75.188,0,41.870,30.047,41.870,30.047,0.413,1.599,0.626,0.675
16,69.695,0,42.026,26.856,42.026,26.856,0.315,1.547,0.647,0.645
17,67.978,0,43.670,28.492,43.670,28.492,0.389,1.623,0.616,0.676
18,55.447,0,41.195,28.576,41.195,28.576,0.289,1.994,0.501,0.146
19,24.891,0,40.771,31.473,40.771,31.473,0.905,1.361,0.735,0.927
20,34.847,0,40.284,31.663,40.284,31.663,0.678,3.929,0.255,0.170
21,44.804,0,42.668,29.525,42.668,29.525,0.376,2.046,0.489,0.184
22,66.090,0,41.251,28.539,41.251,28.539,0.278,1.191,0.840,0.700
23,41.885,0,40.186,28.486,40.186,28.486,0.403,2.544,0.393,0.544
24,32.272,0,40.681,29.238,40.681,29.238,0.313,2.036,0.491,0.555
25,38.624,0,41.503,30.419,41.503,30.419,0.461,1.731,0.578,0.741
26,42.400,0,39.081,29.292,39.081,29.292,0.497,2.122,0.471,0.723
27,29.526,0,39.895,29.740,39.895,29.740,0.462,3.322,0.301,0.589
28,53.043,0,39.090,31.809,39.090,31.809,0.495,1.697,0.589,0.748
29,31.071,0,39.302,31.760,39.302,31.760,0.691,1.798,0.556,0.836
30,26.779,0,39.042,32.221,39.042,32.221,0.596,1.688,0.592,0.768
31,30.899,0,39.192,32.315,39.192,32.315,0.802,1.173,0.853,0.885
