 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,1252.785,255,18.437,16.987,18.437,16.987,0.135,1.085,0.921,1.000
2,1252.785,255,18.437,16.987,18.437,16.987,0.135,1.085,0.921,1.000
3,1252.785,255,18.437,16.987,18.437,16.987,0.135,1.085,0.921,1.000
4,1252.785,255,18.437,16.987,18.437,16.987,0.135,1.085,0.921,1.000
5,1252.785,255,18.437,16.987,18.437,16.987,0.135,1.085,0.921,1.000
6,1252.785,255,18.437,16.987,18.437,16.987,0.135,1.085,0.921,1.000
7,1252.785,255,18.437,16.987,18.437,16.987,0.135,1.085,0.921,1.000
8,1252.785,255,18.437,16.987,18.437,16.987,0.135,1.085,0.921,1.000
9,1252.785,255,18.437,16.987,18.437,16.987,0.135,1.085,0.921,1.000
10,1252.785,255,18.437,16.987,18.437,16.987,0.135,1.085,0.921,1.000
11,1252.785,255,18.437,16.987,18.437,16.987,0.135,1.085,0.921,1.000
12,12.360,0,17.574,15.134,17.574,15.134,0.637,1.825,0.548,0.758
13,8.583,0,20.559,16.100,20.559,16.100,0.681,2.106,0.475,0.645
14,15.621,0,19.689,18.346,19.689,18.346,0.393,3.982,0.251,0.662
15,5.150,0,23.271,18.120,23.271,18.120,0.929,1.314,0.761,0.857
16,8.583,0,18.876,16.697,18.876,16.697,0.462,1.737,0.576,0.474
17,5.836,0,19.583,18.925,19.583,18.925,0.614,8.068,0.124,0.105
18,2.232,0,18.597,18.023,18.597,18.023,0.779,1.817,0.550,0.839
19,7.381,0,19.690,18.765,19.690,18.765,0.508,2.602,0.384,0.705
20,32.101,0,20.819,16.893,20.819,16.893,0.431,1.734,0.577,0.716
21,9.613,0,21.367,19.229,21.367,19.229,0.552,1.889,0.529,0.783
22,8.583,0,17.435,15.496,17.435,15.496,0.252,2.358,0.424,0.420
23,14.763,0,16.332,14.352,16.332,14.352,0.427,2.925,0.342,0.691
24,1.202,0,16.602,16.898,16.602,16.898,0.687,1.439,0.695,0.700
25,13.733,0,19.411,12.834,19.411,12.834,0.364,2.172,0.460,0.611
26,0.172,0,20.095,18.023,20.095,18.023,1.000,1.000,1.000,1.000
27,6.351,0,21.226,14.350,21.226,14.350,0.382,4.605,0.217,0.521
28,3.433,0,20.012,12.181,20.012,12.181,0.476,1.567,0.638,0.494
29,20.771,0,16.770,13.866,16.770,13.866,0.402,2.550,0.392,0.659
30,6.008,0,17.467,14.626,17.467,14.626,0.350,4.221,0.237,0.224
31,10.643,0,16.279,13.673,16.279,13.673,0.408,4.038,0.248,0.437
