 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,1767.426,255,20.509,21.545,20.509,21.545,0.135,1.051,0.952,1.000
2,1767.426,255,20.509,21.545,20.509,21.545,0.135,1.051,0.952,1.000
3,1767.426,255,20.509,21.545,20.509,21.545,0.135,1.051,0.952,1.000
4,22.831,0,21.456,29.185,21.456,29.185,0.821,1.254,0.797,0.869
5,25.406,0,21.836,29.030,21.836,29.030,0.647,1.547,0.647,0.825
6,23.518,0,21.779,29.875,21.779,29.875,0.348,1.756,0.570,0.593
7,8.926,0,21.314,29.441,21.314,29.441,0.179,1.212,0.825,0.303
8,13.046,0,24.336,26.576,24.336,26.576,0.725,1.496,0.669,0.854
9,28.667,0,26.136,25.252,26.136,25.252,0.796,1.710,0.585,0.877
10,14.591,0,29.010,25.451,29.010,25.451,0.891,1.313,0.762,0.885
11,8.755,0,26.187,25.481,26.187,25.481,0.397,3.266,0.306,0.495
12,12.016,0,27.647,27.316,27.647,27.316,0.282,2.576,0.388,0.433
13,3.777,0,24.407,29.831,24.407,29.831,0.498,2.296,0.436,0.355
14,0.343,0,26.724,31.903,26.724,31.903,1.000,2.000,0.500,1.000
15,14.076,0,30.301,28.684,30.301,28.684,0.815,1.297,0.771,0.906
16,8.411,0,29.396,26.580,29.396,26.580,0.846,1.521,0.657,0.867
17,3.090,0,27.644,24.330,27.644,24.330,0.232,1.682,0.594,0.184
18,7.553,0,22.863,21.592,22.863,21.592,0.824,1.708,0.586,0.898
19,13.561,0,20.373,25.989,20.373,25.989,0.454,5.093,0.196,0.230
20,25.749,0,21.586,24.246,21.586,24.246,0.828,1.693,0.591,0.885
21,15.793,0,21.594,24.044,21.594,24.044,0.743,1.766,0.566,0.868
22,19.569,0,21.007,24.765,21.007,24.765,0.779,1.714,0.583,0.854
23,8.926,0,19.688,24.405,19.688,24.405,0.564,1.593,0.628,0.743
24,1.030,0,16.573,22.580,16.573,22.580,1.000,1.500,0.667,1.000
25,8.240,0,19.231,21.527,19.231,21.527,0.866,1.159,0.863,0.835
26,9.098,0,21.126,21.783,21.126,21.783,0.441,2.431,0.411,0.711
27,7.725,0,21.209,20.656,21.209,20.656,0.354,2.220,0.450,0.486
28,1767.426,255,20.509,21.545,20.509,21.545,0.135,1.051,0.952,1.000
29,2.060,0,21.924,20.405,21.924,20.405,0.695,1.400,0.714,0.727
30,3.090,0,19.151,19.795,19.151,19.795,0.868,1.683,0.594,0.818
31,0.515,0,18.299,19.818,18.299,19.818,0.754,4.790,0.209,0.316
