 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2943.135,255,27.967,26.309,27.967,26.309,0.135,1.063,0.941,1.000
2,2943.135,255,27.967,26.309,27.967,26.309,0.135,1.063,0.941,1.000
3,0.172,0,55.726,52.412,55.726,52.412,1.000,1.000,1.000,1.000
4,2943.135,255,27.967,26.309,27.967,26.309,0.135,1.063,0.941,1.000
5,0.172,0,26.724,1.036,26.724,1.036,1.000,1.000,1.000,1.000
6,2943.135,255,27.967,26.309,27.967,26.309,0.135,1.063,0.941,1.000
7,2943.135,255,27.967,26.309,27.967,26.309,0.135,1.063,0.941,1.000
8,2943.135,255,27.967,26.309,27.967,26.309,0.135,1.063,0.941,1.000
9,0.172,0,16.366,0.207,16.366,0.207,1.000,1.000,1.000,1.000
10,0.172,0,7.665,0.207,7.665,0.207,1.000,1.000,1.000,1.000
11,0.172,0,38.325,52.412,38.325,52.412,1.000,1.000,1.000,1.000
12,41.885,0,21.794,30.736,21.794,30.736,0.772,1.289,0.776,0.912
13,96.474,0,26.090,28.221,26.090,28.221,0.358,1.280,0.781,0.375
14,93.899,0,26.483,26.818,26.483,26.818,0.490,1.333,0.750,0.876
15,92.697,0,27.236,27.206,27.236,27.206,0.806,1.334,0.750,0.918
16,93.555,0,27.232,26.899,27.232,26.899,0.412,1.176,0.850,0.886
17,105.400,0,27.169,27.154,27.169,27.154,0.430,1.043,0.959,0.842
18,90.981,0,27.603,27.505,27.603,27.505,0.419,1.198,0.835,0.827
19,100.594,0,27.706,27.134,27.706,27.134,0.405,1.219,0.820,0.815
20,102.139,0,27.944,27.140,27.944,27.140,0.401,1.090,0.917,0.817
21,90.981,0,27.463,26.413,27.463,26.413,0.634,1.052,0.951,0.905
22,75.016,0,27.081,25.772,27.081,25.772,0.512,1.234,0.810,0.807
23,74.158,0,26.886,26.302,26.886,26.302,0.817,1.344,0.744,0.918
24,73.814,0,27.198,26.717,27.198,26.717,0.711,1.187,0.842,0.922
25,68.836,0,27.140,27.130,27.140,27.130,0.763,1.338,0.748,0.923
26,61.970,0,27.030,26.773,27.030,26.773,0.845,1.408,0.710,0.921
27,56.648,0,26.259,26.073,26.259,26.073,0.865,1.128,0.887,0.908
28,50.640,0,26.437,26.071,26.437,26.071,0.800,1.345,0.744,0.898
29,54.932,0,25.957,26.462,25.957,26.462,0.816,1.479,0.676,0.916
30,58.193,0,25.928,26.807,25.928,26.807,0.771,1.537,0.651,0.882
31,59.223,0,26.223,26.778,26.223,26.778,0.803,1.248,0.801,0.908
