 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,1767.426,255,20.509,21.545,20.509,21.545,0.135,1.051,0.952,1.000
2,13.390,0,21.125,21.003,21.125,21.003,0.273,1.493,0.670,0.456
3,16.823,0,20.555,22.411,20.555,22.411,0.211,1.924,0.520,0.365
4,43.259,0,18.820,19.425,18.820,19.425,0.191,2.655,0.377,0.442
5,54.073,0,18.215,17.372,18.215,17.372,0.343,2.329,0.429,0.535
6,72.098,0,17.094,17.101,17.094,17.101,0.392,3.554,0.281,0.780
7,54.932,0,17.275,18.059,17.275,18.059,0.370,2.293,0.436,0.660
8,84.457,0,20.485,21.481,20.485,21.481,0.623,1.530,0.653,0.924
9,67.120,0,20.276,20.247,20.276,20.247,0.313,1.190,0.840,0.745
10,70.553,0,19.172,18.285,19.172,18.285,0.342,1.716,0.583,0.829
11,74.501,0,20.205,18.059,20.205,18.059,0.331,1.349,0.741,0.827
12,69.523,0,18.550,17.373,18.550,17.373,0.349,1.928,0.519,0.754
13,88.406,0,18.566,16.756,18.566,16.756,0.493,1.386,0.721,0.862
14,71.411,0,18.005,20.170,18.005,20.170,0.458,1.498,0.668,0.779
15,45.147,0,19.854,23.283,19.854,23.283,0.755,1.230,0.813,0.896
16,53.215,0,22.609,22.222,22.609,22.222,0.703,1.805,0.554,0.856
17,41.542,0,19.317,20.374,19.317,20.374,0.733,1.136,0.880,0.869
18,46.864,0,18.002,21.148,18.002,21.148,0.713,1.890,0.529,0.857
19,37.937,0,18.621,22.260,18.621,22.260,0.738,1.461,0.684,0.900
20,50.468,0,16.543,21.502,16.543,21.502,0.688,1.183,0.846,0.902
21,46.349,0,17.099,23.653,17.099,23.653,0.830,1.369,0.730,0.931
22,32.959,0,18.947,22.643,18.947,22.643,0.685,1.221,0.819,0.859
23,29.526,0,16.826,22.128,16.826,22.128,0.843,1.284,0.779,0.935
24,16.479,0,17.117,22.684,17.117,22.684,0.608,2.048,0.488,0.821
25,0.687,0,18.852,21.130,18.852,21.130,0.857,2.031,0.492,0.800
26,4.635,0,17.578,22.304,17.578,22.304,0.599,1.849,0.541,0.740
27,0.687,0,18.023,22.684,18.023,22.684,0.698,2.654,0.377,0.667
28,3.262,0,16.911,23.584,16.911,23.584,1.000,1.548,0.646,0.905
29,1767.426,255,20.509,21.545,20.509,21.545,0.135,1.051,0.952,1.000
30,1767.426,255,20.509,21.545,20.509,21.545,0.135,1.051,0.952,1.000
31,1767.426,255,20.509,21.545,20.509,21.545,0.135,1.051,0.952,1.000
