Condition,VH + ζ + 221 + Her 1,VH + ζ + 221 + Her 2,VH + ζ + 221 + Her 3,VL + ζ + 221 + Her 1,VL + ζ + 221 + Her 2,VL + ζ + 221 + Her 3,VH + ζ + 221 1,VH + ζ + 221 2,VH + ζ + 221 3,VL + ζ + 221 1,VL + ζ + 221 2,VL + ζ + 221 3,,,,,,,
Seconds,,,,,,,,,,,,,,,,,,,
21.615,1.029377,1.035252,1.026439,1.023651,1.028381,1.021286,1.005762,1.006915,1.005186,1.007356,1.008828,1.006621,,,,,,,
22.115,1.029689,1.035626,1.02672,1.02417,1.029004,1.021753,1.00721,1.008652,1.006489,1.008298,1.009958,1.007468,,,,,,,
22.615,1.031597,1.037916,1.028437,1.025436,1.030523,1.022892,1.00881,1.010573,1.007929,1.011441,1.01373,1.010297,,,,,,,
23.115,1.032672,1.039206,1.029404,1.025863,1.031036,1.023277,1.009228,1.011073,1.008305,1.011449,1.013739,1.010304,,,,,,,
23.615,1.031597,1.037916,1.028437,1.02594,1.031128,1.023346,1.011003,1.013204,1.009903,1.012829,1.015395,1.011546,,,,,,,
24.115,1.030155,1.036186,1.027139,1.027224,1.032669,1.024502,1.011737,1.014084,1.010563,1.013078,1.015693,1.01177,,,,,,,
24.615,1.030115,1.036138,1.027104,1.027675,1.03321,1.024908,1.011835,1.014202,1.010651,1.015094,1.018113,1.013585,,,,,,,
25.115,1.030442,1.036531,1.027398,1.029236,1.035083,1.026312,1.012481,1.014977,1.011233,1.016656,1.019987,1.01499,,,,,,,
25.615,1.029689,1.035626,1.02672,1.030374,1.036449,1.027337,1.012364,1.014836,1.011127,1.016927,1.020313,1.015235,,,,,,,
26.115,1.030115,1.036138,1.027104,1.031227,1.037472,1.028104,1.011985,1.014382,1.010786,1.017061,1.020473,1.015355,,,,,,,
26.615,1.030077,1.036092,1.027069,1.032755,1.039306,1.02948,1.012036,1.014443,1.010832,1.018767,1.02252,1.01689,,,,,,,
27.115,1.030745,1.036894,1.027671,1.034038,1.040846,1.030634,1.012013,1.014415,1.010811,1.017875,1.02145,1.016088,,,,,,,
27.615,1.030745,1.036894,1.027671,1.034602,1.041522,1.031142,1.012215,1.014658,1.010993,1.018588,1.022306,1.016729,,,,,,,
28.115,1.031582,1.037898,1.028423,1.034038,1.040846,1.030634,1.011987,1.014385,1.010789,1.018454,1.022145,1.016609,,,,,,,
28.615,1.031595,1.037914,1.028435,1.036478,1.043774,1.03283,1.012364,1.014836,1.011127,1.019417,1.023301,1.017476,,,,,,,
29.115,1.030745,1.036894,1.027671,1.037245,1.044694,1.033521,1.012525,1.01503,1.011272,1.018461,1.022153,1.016615,,,,,,,
29.615,1.030442,1.036531,1.027398,1.037592,1.04511,1.033833,1.013129,1.015755,1.011816,1.018631,1.022358,1.016768,,,,,,,
31,1.028849,1.034618,1.025964,1.025962,1.031154,1.023366,1.079211,1.095054,1.07129,1.082512,1.099015,1.074261,,,,,,,
31.5,1.032328,1.038793,1.029095,0.974377,0.969252,0.982064,1.032141,1.038569,1.028926,1.082512,1.099015,1.074261,,,,,,,
32,1.055063,1.066075,1.049556,0.927979,0.913575,0.949585,1.024155,1.028986,1.02174,1.000775,1.00093,1.000697,,,,,,,
32.5,1.093311,1.111974,1.08398,0.896004,0.875205,0.927203,1.030194,1.036233,1.027175,0.952687,0.943224,0.966881,,,,,,,
33,1.127167,1.152601,1.114451,0.888388,0.866066,0.921872,1.03133,1.037596,1.028197,0.928259,0.913911,0.949781,,,,,,,
33.5,1.148105,1.177726,1.133295,0.884525,0.86143,0.919168,1.032141,1.038569,1.028926,0.922145,0.906574,0.945502,,,,,,,
34,1.130072,1.156086,1.117065,0.878596,0.854315,0.915017,1.029639,1.035566,1.026675,0.924398,0.909278,0.947079,,,,,,,
34.5,1.128338,1.154005,1.115504,0.876928,0.852314,0.91385,1.029521,1.035426,1.026569,0.913745,0.896494,0.939621,,,,,,,
35,1.158192,1.18983,1.142373,0.871657,0.845988,0.91016,1.023764,1.028517,1.021387,0.909096,0.890915,0.936367,,,,,,,
