NK-92 VL,NK-92 VH
97.15049108,538.2273504
21.15334588,57.61705724
11.98773335,497.2462259
375.295309,422.1804271
202.9797931,590.6980715
227.5593794,55.13696686
628.0634434,134.3667764
313.1336695,537.8226174
105.637012,581.0793
176.130259,86.75469335
242.1107742,278.0076513
29.09964546,408.5857444
197.6109007,251.8656136
145.9575,304.8586369
8.999410072,438.9111169
100.2036558,680.016542
637.1452259,9.090742898
276.7147144,450.5494522
10.83404124,67.26396
176.923842,189.7768473
218.5016966,35.15339623
482.3586675,123.1823567
626.5553791,247.1966795
156.4915617,339.8189
302.5629342,525.1816
115.2786992,359.167697
154.8637651,34.27465241
377.7763472,340.5745816
331.1193,622.8775766
1.517551878,637.9166104
409.432629,407.3548385
323.8165195,553.3054797
493.1424437,4.972213997
7.124917873,161.5114951
33.61686436,349.0056548
330.4176514,541.4411352
85.69866724,654.6863108
270.8264968,601.9642582
12.08751277,287.3014389
79.23792312,441.0712428
335.6193,20.01135701
300.1625445,442.8348753
242.6747805,443.8412825
238.6324213,347.2742735
76.30044068,288.8590586
19.59524513,457.0736836
116.0815599,601.4711505
64.79567394,506.0242798
215.7120613,18.82132017
163.6224481,106.4723963
532.7858761,160.4452056
260.0924275,298.4245221
471.482859,345.249852
342.5571943,17.57913
23.84213221,1011.727577
64.94060718,478.6460813
425.5707759,96.78801841
102.3835149,166.7410446
446.8582356,269.6943734
691.4286237,94.88014307
274.2572402,373.2597697
367.5147343,408.1656149
30.42266493,265.7525126
404.8276734,102.7203856
310.2402168,202.4106877
312.8147031,847.5735767
351.1659896,269.6722282
314.9796033,365.4857146
66.74916443,552.1218
157.3419849,6.813130995
59.96404,275.282072
571.0026521,425.4121273
221.5590498,184.0815566
83.57057861,300.3281173
161.2146567,214.2992773
176.1846324,556.0695201
56.81273,397.1409303
349.7859604,382.0718766
129.4708594,316.3748301
166.9467,718.89984
174.2484638,728.6264514
15.77391172,498.310376
165.5030372,394.4574063
48.00708,484.7809208
580.2861737,513.1276014
59.96721603,594.7522127
31.04907116,794.992
51.13369909,540.6587
