frame,experiment 1 frame 1,experiment 1 frame 2,experiment 1 frame 3,experiment 1 frame 4,experiment 2 frame 1,experiment 2 frame 2,experiment 2 frame 3,experiment 2 frame 4,experiment 3 frame 1,experiment 3 frame 2,experiment 3 frame 3,experiment 3 frame 4,experiment 4 frame 1,experiment 4 frame 2,experiment 4 frame 3,experiment 4 frame 4,experiment 5 frame 1,experiment 5 frame 2,experiment 5 frame 3,experiment 5 frame 4,experiment 6 frame 1,experiment 6 frame 2,experiment 6 frame 3,experiment 6 frame 4
minute,,,,,,,,,,,,,,,,,,,,,,,,
0,2.087166,2.274721,2.539739,2.112415,2.446578,0,2.522998,2.509378,3.880893,3.362329,4.981643,5.644231,8.146895,5.821998,10.87291,6.953323,2.698855,0,0,4.986793,0,0,4.646451,3.032217
15,2.199196,2.461414,2.565682,2.100828,2.55558,2.217787,2.284896,2.544469,4.240537,4.0141,3.820437,4.330159,4.173656,3.762461,12.82422,5.512372,2.219602,0,2.340115,3.100899,0,0,2.89966,2.632653
30,2.261484,2.486312,2.963618,2.208978,2.587971,2.186507,2.52561,2.712814,3.54057,3.83119,4.975684,5.476805,3.756398,4.032174,12.79362,5.807929,2.163647,0,2.502315,3.137482,0,0,2.235261,2.480959
45,2.194061,2.266771,2.871226,2.483334,2.396468,2.143389,2.583278,2.562311,4.309889,4.70596,5.84013,6.245672,4.609319,4.139317,12.16618,4.63966,2.2699,0,2.402588,2.592625,0,0,2.19907,2.399611
60,2.687431,2.524224,3.072286,2.383594,2.66476,2.242764,2.487574,2.635035,3.716346,4.988281,6.884073,6.473684,5.002717,3.923491,10.17308,5.010417,2.249236,0,2.562888,2.548455,2.451669,0,2.362978,2.723325
75,2.682393,2.689991,3.833084,2.527028,2.863198,2.334008,2.499422,2.83237,3.806032,5.077404,8.260405,5.724941,6.540881,4.317461,12.72152,4.791525,2.246805,0,2.561646,2.437668,2.447615,2.103549,2.545066,2.358744
90,2.855939,2.940174,3.900458,2.958148,3.053682,2.979924,2.748135,3.052267,4.076574,4.898551,7.31401,6.968944,6.589372,4.358143,10.90269,4.337541,2.215852,0,2.500845,2.580821,3.170925,2.275438,2.496001,2.320741
105,2.876984,2.961628,3.772301,3.032793,3.029657,2.857276,2.90293,2.86395,4.395577,5.901369,8.999252,7.48805,6.819338,4.577311,10.20339,4.101298,2.209433,0,2.473937,2.546286,2.731619,2.173096,2.318403,2.303716
120,3.456214,3.176598,4.261415,3.78513,3.819068,3.250213,2.915335,3.498794,5.510351,7.123762,9.473651,13.7691,8.117925,5.818953,7.057533,4.652051,2.2118,0,2.797329,2.643565,3.102023,2.353531,2.320173,2.470196
135,3.720512,3.849893,4.522849,3.991333,4.137469,3.272462,2.998009,3.667195,7.285285,7.079365,11.15825,12.84746,7.625879,5.57599,8.287263,4.756982,2.211702,2.042895,2.647415,2.456874,2.755805,2.541729,2.643672,2.47633
150,3.85243,4.001542,5.091364,4.424473,4.766546,3.658822,3.055412,3.707125,9.09235,7.902025,12.52045,12.68938,8.658695,6.49329,8.517294,5.464011,2.215329,2.042338,2.785992,2.361866,3.083227,2.612491,2.804342,2.640979
165,4.001102,3.896342,5.119397,4.305477,4.443638,3.474932,2.966174,3.906939,8.155671,7.356037,13.58852,13.93103,8.828947,5.902256,8.828947,5.558379,2.215329,2.042338,2.785992,2.361866,3.083227,2.612491,2.804342,2.640979
180,4.215965,4.497145,5.122541,4.282866,4.869034,3.803393,3.026776,4.414655,10.74088,9.190083,15.45619,15.88337,9.975554,6.269267,9.975554,6.705882,2.206171,2.083037,2.785081,2.890848,3.445945,3.111827,3.405009,2.927769
195,4.749274,4.864853,5.949577,4.637878,5.82823,4.094472,3.322907,4.410208,10.14613,9.793294,15.40864,16.41466,11.12929,6.506863,8.726843,6.122904,2.522844,2.129792,3.100097,2.906808,3.813616,3.406926,3.498463,3.48628
210,4.564403,4.567765,5.993921,4.509549,5.510968,4.575839,3.21106,4.466031,9.424385,8.196685,16.92137,16.1028,10.61013,6.322566,9.043566,7.273558,2.524471,2.216966,3.29275,2.835199,3.827632,3.601169,3.471386,3.30028
225,4.598385,4.793149,6.251062,4.574136,5.462232,4.792155,3.130801,4.656126,9.837567,8.955017,16.21781,17.92395,10.81942,7.118411,9.882353,7.503128,2.959512,2.306407,4.277686,2.640368,3.87638,3.44646,3.617569,3.793066
