,158VV48LH,,,158VV48LL,,,,,,,
Time (Seconds),3G8,SKOV-3,221,3G8,SKOV-3,221,,,,,
41.511,1.780332,1.062944,4.003493,1.523643,1.053836,3.565738,,,,,
42.011,1.784087,1.062154,4.010758,1.523946,1.05397,3.570098,,,,,
42.511,1.794152,1.060123,3.998678,1.524934,1.054665,3.565476,,,,,
43.011,1.801823,1.054937,4.009713,1.526493,1.056436,3.574362,,,,,
43.511,1.806077,1.053443,4.010758,1.52676,1.057096,3.567492,,,,,
44.011,1.811478,1.054661,4.033446,1.532794,1.058463,3.562169,,,,,
44.511,1.814349,1.054661,4.041653,1.534027,1.057235,3.562169,,,,,
45.011,1.822219,1.055382,4.037716,1.538955,1.057051,3.565476,,,,,
45.511,1.827976,1.05638,4.026,1.540395,1.057065,3.574465,,,,,
46.011,1.831294,1.05783,4.026,1.542254,1.057695,3.576719,,,,,
46.511,1.83672,1.05897,4.011197,1.547439,1.056904,3.580285,,,,,
47.011,1.842292,1.061931,4.0108,1.549894,1.057037,3.57885,,,,,
47.511,1.84954,1.06245,4.009713,1.555964,1.059791,3.581876,,,,,
48.011,1.854038,1.065561,4.0131,1.559933,1.05998,3.574465,,,,,
48.511,1.854164,1.067109,4.010758,1.560755,1.060106,3.574259,,,,,
49.011,1.858334,1.067764,3.999902,1.561978,1.060097,3.58552,,,,,
49.511,1.861647,1.069304,3.993511,1.565992,1.061176,3.589347,,,,,
50.011,1.869546,1.070552,3.999902,1.568142,1.061532,3.59938,,,,,
50.511,1.870589,1.071714,4.005778,1.573909,1.061954,3.59813,,,,,
51.011,1.872361,1.074985,4.009713,1.577375,1.061417,3.609045,,,,,
51.511,1.879162,1.076891,4.00871,1.58122,1.062081,3.609045,,,,,
52.011,1.88126,1.077812,4.015548,1.583444,1.061833,3.609045,,,,,
52.511,1.886181,1.080151,4.0131,1.585114,1.061767,3.604964,,,,,
53.011,1.890085,1.082581,4.01759,1.586914,1.061961,3.609586,,,,,
53.511,1.893098,1.085295,4.008509,1.588507,1.062203,3.609045,,,,,
54.011,1.896636,1.088409,4.017821,1.588318,1.062103,3.612535,,,,,
54.511,1.899035,1.09003,4.017223,1.589174,1.060868,3.613712,,,,,
55.011,1.901012,1.090453,4.033103,1.590116,1.059244,3.608449,,,,,
55.511,1.903548,1.094119,4.039841,1.592069,1.058525,3.610518,,,,,
56.011,1.908202,1.096688,4.043403,1.594556,1.059099,3.613712,,,,,
56.511,1.909814,1.097674,4.042999,1.594556,1.058795,3.612535,,,,,
57.011,1.910422,1.098788,4.040015,1.594936,1.058795,3.607405,,,,,
57.511,1.912145,1.101095,4.038179,1.594001,1.058388,3.609045,,,,,
58.011,1.915755,1.101691,4.039935,1.593039,1.058057,3.609045,,,,,
58.511,1.916388,1.103352,4.037716,1.594065,1.057993,3.613662,,,,,
59.011,1.918467,1.104258,4.040015,1.596338,1.060109,3.611735,,,,,
59.511,1.919957,1.103795,4.052566,1.594463,1.059565,3.609045,,,,,
60.011,1.922437,1.104921,4.044457,1.594625,1.059315,3.608449,,,,,
60.511,1.925373,1.105317,4.052566,1.594172,1.060102,3.596977,,,,,
61.011,1.926745,1.107034,4.033598,1.592596,1.060126,3.597133,,,,,
61.511,1.92814,1.107157,4.033448,1.592658,1.059862,3.604964,,,,,
62.011,1.928797,1.108578,4.032464,1.592065,1.060427,3.596362,,,,,
62.511,1.929647,1.108969,4.033449,1.591617,1.059562,3.596977,,,,,
63.011,1.931733,1.110001,4.039841,1.591683,1.058897,3.591327,,,,,
63.511,1.932443,1.110551,4.042999,1.591453,1.057271,3.58997,,,,,
64.011,1.93524,1.110665,4.042594,1.592069,1.057408,3.589851,,,,,
64.511,1.936307,1.112407,4.040015,1.591627,1.059498,3.588723,,,,,
65.011,1.937849,1.112605,4.039935,1.591453,1.061209,3.590805,,,,,
65.511,1.938357,1.113611,4.039676,1.590617,1.061407,3.588692,,,,,
66.011,1.939618,1.114439,4.039888,1.591627,1.060231,3.589227,,,,,
66.511,1.939283,1.115273,4.039676,1.5913,1.059953,3.59041,,,,,
67.011,1.940606,1.116008,4.033274,1.591263,1.060736,3.590932,,,,,
67.511,1.941784,1.11633,4.025966,1.59071,1.061232,3.590283,,,,,
68.011,1.943504,1.117249,4.025382,1.590497,1.061856,3.590283,,,,,
68.511,1.944217,1.118092,4.024891,1.590617,1.062726,3.58997,,,,,
69.011,1.946567,1.118918,4.029178,1.59026,1.062255,3.588692,,,,,
69.511,1.948523,1.119623,4.038179,1.589421,1.062371,3.588661,,,,,
70.011,1.949343,1.119987,4.038179,1.58942,1.062371,3.587216,,,,,
70.511,1.950012,1.120009,4.040015,1.589212,1.06181,3.587216,,,,,
71.011,1.952457,1.121038,4.042594,1.589174,1.061247,3.587688,,,,,
71.511,1.955004,1.120753,4.039888,1.58914,1.060824,3.586014,,,,,
72.011,1.956087,1.121118,4.035501,1.589065,1.060585,3.587216,,,,,
72.511,1.956192,1.121461,4.037253,1.588929,1.062214,3.58997,,,,,
73.011,1.956762,1.122326,4.042124,1.588577,1.063753,3.588692,,,,,
73.511,1.957014,1.121654,4.049172,1.588082,1.063596,3.589227,,,,,
74.011,1.957489,1.121153,4.047537,1.587642,1.064231,3.589732,,,,,
74.511,1.959209,1.121559,4.040874,1.58745,1.06439,3.589227,,,,,
75.011,1.960399,1.1218,4.039888,1.586795,1.064053,3.586014,,,,,
75.511,1.960965,1.122578,4.048981,1.58644,1.064799,3.588661,,,,,
76.011,1.961925,1.122808,4.059959,1.587223,1.065467,3.588723,,,,,
76.511,1.963702,1.122918,4.053794,1.586258,1.065734,3.588692,,,,,
77.011,1.964335,1.123405,4.053749,1.585701,1.065857,3.587688,,,,,
77.511,1.964869,1.123474,4.060398,1.585467,1.065468,3.586744,,,,,
78.011,1.966373,1.123485,4.054227,1.584921,1.065708,3.588175,,,,,
