,TRACK_ID,Duration
0,2.0,94.0
1,3.0,94.0
2,5.0,93.0
4,10.0,93.0
5,11.0,93.0
6,18.0,93.0
9,71.0,89.0
14,223.0,81.0
3,7.0,70.0
10,87.0,69.0
11,120.0,67.0
16,317.0,62.0
17,348.0,62.0
8,37.0,42.0
7,27.0,36.0
13,198.0,27.0
15,235.0,18.0
12,128.0,7.0
19,387.0,7.0
18,374.0,1.0
