,TRACK_ID,Duration
1,5.0,95.0
2,8.0,94.0
4,16.0,94.0
5,17.0,94.0
13,80.0,93.0
16,106.0,93.0
6,30.0,93.0
8,35.0,93.0
11,54.0,93.0
17,112.0,92.0
20,138.0,89.0
22,158.0,88.0
24,191.0,86.0
14,85.0,78.0
9,39.0,74.0
0,0.0,73.0
7,31.0,71.0
18,126.0,50.0
21,151.0,46.0
19,132.0,43.0
3,13.0,43.0
15,87.0,26.0
23,167.0,25.0
10,45.0,22.0
25,385.0,6.0
12,77.0,1.0
