NK-92 VL,NK-92 VH
12.68581952,402.742793
12.31191058,9.856761639
13.84965696,10.00288633
84.28481245,10.42725045
15.23425104,145.3765602
21.48599232,4.722992299
12.10487954,255.2953523
27.24789399,74.58687797
12.52602276,5.408994938
35.42988254,4.676858
11.85975454,11.3256056
10.09427848,13.12832189
11.75560016,2.142457886
25.32649102,7.730308334
14.93288794,31.74051814
21.10578123,116.0321697
16.49696602,24.36812254
14.23587474,96.41318277
4.214144068,319.2632228
60.61305387,11.85093569
14.28303863,120.2286294
169.7400763,93.62063
33.85210588,6.767712486
18.80818766,0.741965561
19.81807001,23.5648793
26.56745467,44.07200546
135.9546877,78.09133612
84.76704969,17.48891481
361.4416137,23.5518907
64.70852995,4.668977609
8.684596113,146.1478424
52.80969474,9.246511559
95.68320635,27.94091
348.8916327,34.19690453
12.41067104,6.337529108
556.0230804,191.9721413
358.2707982,31.92532869
16.05433849,183.2218253
11.44316875,51.50991607
16.92461879,79.90124549
36.63344963,163.1050906
74.92308418,40.91828384
5.788389162,207.8093516
8.968480137,158.5525323
1.362876779,75.39096604
139.5405792,34.05336749
100.5394117,29.45023743
83.75553148,79.0058
60.06792521,3.061608221
146.7228455,89.0944917
73.18930447,46.86207824
0.50905375,119.4606885
5.087291124,2.844312173
226.7149906,53.77228555
61.5420683,15.47541825
331.529783,108.7982429
95.21947,31.61515199
111.4719614,214.8297452
110.4041703,41.83659934
8.095129137,9.090742898
17.94748026,23.94482901
42.53538636,162.047644
11.49856369,236.0252047
185.4095265,2.157996874
26.85050421,1.718462732
2.352583622,332.7151
1.795732331,48.75588037
26.11155932,2.102357228
124.9681113,152.1318674
211.3343946,5.432999982
10.91413844,23.29253619
482.930306,55.18839688
1.140977634,126.5211002
6.974043752,59.70800923
109.0610086,95.06155342
16.20621447,89.31183789
3.69269628,82.15244
56.31337865,171.0025458
8.999410072,72.77862059
26.78449407,27.72582049
5.148512909,40.9871
9.144528417,18.22847501
145.3845208,55.91034772
7.779481708,103.1669436
47.54633056,64.78152592
11.18927523,101.228127
192.1851942,16.64425798
3.973718909,260.9664416
0.615896945,209.4764075
255.7016385,97.40255537
90.35888773,34.62443191
120.6507494,18.60096216
31.84194202,95.64375
8.871889996,175.6665225
6.528845584,84.20125094
28.83159992,232.1206362
9.454808841,24.47362588
4.854309676,78.12088
2.06576921,2
8.738135192,0.93491286
37.63178073,8.975354647
134.2592785,138.0668249
50.74397471,4.170311859
21.00063111,125.5495606
60.00870272,2.286977117
1,312.4555693
105.6936918,1.156693264
89.2054748,259.5818973
8.442424222,173.3820119
196.7745674,26.34901559
19.89581554,28.32008147
85.93733,96.71964476
1.683894904,13.81298
25.26175388,3.238210318
279.7457924,4.972213997
126.9532851,260.0358031
341.0844696,407.9419519
34.91462294,36.84088163
314.9822397,15.44504208
257.1447676,117.8435942
0.111944007,94.51710987
29.31440417,67.02615643
139.381565,136.0583708
7.961622311,82.58871
30.10295962,398.810195
31.85473376,6.465458219
201.3434451,142.8676397
50.55322332,17.14415321
6.789245692,66.34023661
0.374813759,113.9608792
1.18191748,149.6757919
27.74051395,26.52262543
49.23277411,410.5998496
4.088857888,19.54437724
1.401027908,100.1373984
328.605015,159.3557389
0.328196201,66.23925042
206.7255339,85.31977
171.3962461,169.3411742
2.598948,82.43107725
82.70928766,106.8029496
1.729374088,122.2339196
108.1985299,23.61096531
