frame,experiment 1 frame 1,experiment 1 frame 2,experiment 1 frame 3,experiment 1 frame 4,experiment 1 frame 5,experiment 1 frame 6,experiment 2 frame 1,experiment 2 frame 2,experiment 2 frame 3,experiment 2 frame 4,experiment 2 frame 5,experiment 2 frame 6,experiment 3 frame 1,experiment 3 frame 2,experiment 3 frame 3,experiment 3 frame 4,experiment 3 frame 5,experiment 3 frame 6,experiment 4 frame 1,experiment 4 frame 2,experiment 4 frame 3,experiment 4 frame 4,experiment 4 frame 5,experiment 4 frame 6
minute,,,,,,,,,,,,,,,,,,,,,,,,
345,26.81427,36.34787,30.05484,41.4381,28.76324,46.74073,30.70621,48.66148,7.593544,14.55872,11.68446,16.83094,14.89552,23.17318,16.45849,22.7202,45.75597,29.41455,51.85676,35.98285,43.24388,34.1617,27.90421,41.71242
360,25.20224,35.18079,26.50209,40.98894,25.38332,44.11895,27.86157,44.81803,7.499235,13.76123,11.05664,16.49832,13.26152,23.21838,16.9634,22.21584,47.6676,29.2606,50.53915,39.92593,40.27258,33.2716,26.46605,41.39785
375,27.2762,31.81747,30.78495,40.92878,29.0052,43.27039,31.76682,45.99969,7.044825,13.38385,10.76211,17.41369,13.95481,23.58047,17.03513,21.76927,48.09496,28.46358,50.04608,40.53594,40.24995,32.73016,26.52359,41.63942
390,31.75367,35.63623,37.09234,45.46947,35.05863,47.7045,39.49889,52.10929,6.843896,13.93008,10.69283,16.22003,12.1819,22.92779,15.82292,20.65122,50.31563,28.96379,52.33076,38.52711,40.97178,32.26408,24.24108,41.02751
405,29.74157,37.17634,30.43401,45.08219,30.09217,47.00787,35.30109,51.55124,7.737125,14.00499,10.76513,15.62987,13.0476,22.31689,16.46531,19.70214,49.67102,33.61141,52.90677,41.21558,40.36353,38.04551,24.6941,38.61619
420,27.03023,31.33652,27.50781,36.9812,26.94418,41.02803,30.18642,42.74396,7.3798,15.19638,11.11825,16.29957,12.17439,23.94303,15.64035,19.96587,50.5652,35.42765,58.45024,42.60046,45.04562,37.5601,26.33059,38.72769
435,30.4799,33.80051,30.95935,39.92673,30.63884,45.05944,35.4861,48.58698,6.150794,12.76933,8.611111,14.86442,10.72599,20.46825,13.16307,15.75377,45.29221,26.62214,53.25292,40.8362,38.54974,34.36359,24.34771,35.50195
450,29.7914,36.66945,31.98655,45.66845,31.22135,46.50674,32.69974,50.69829,5.576551,10.32083,7.874065,12.834,8.925702,17.02936,11.64921,13.71005,40.98577,26.82836,51.45927,40.36068,37.17162,33.04814,23.39835,37.02927
465,27.23464,32.90443,28.98756,41.83417,27.70216,43.89831,30.73655,47.33165,5.203294,9.602788,6.81447,11.73035,8.675,15.87093,10.94444,12.54291,42.41111,25.7037,56.13235,39.90052,35.89115,34.67846,24.45998,33.5109
480,32.04697,34.95302,33.24593,42.10741,32.57894,49.42658,33.33887,50.40885,5.457428,10.97061,6.578413,13.10622,8.863631,17.33472,11.95576,13.83327,40.70256,23.91532,51.10921,38.75262,31.68537,32.44016,22.89079,31.99961
