,TRACK_ID,Duration
1,2.0,96.0
3,6.0,95.0
4,7.0,95.0
9,24.0,94.0
10,26.0,94.0
12,34.0,93.0
16,76.0,93.0
26,133.0,93.0
22,108.0,93.0
25,114.0,93.0
17,81.0,93.0
27,204.0,89.0
30,291.0,84.0
21,105.0,71.0
20,95.0,68.0
24,113.0,66.0
31,300.0,56.0
2,5.0,52.0
32,305.0,50.0
7,12.0,41.0
33,306.0,41.0
28,232.0,39.0
11,32.0,32.0
0,0.0,30.0
34,404.0,28.0
18,82.0,25.0
29,237.0,22.0
5,9.0,22.0
13,35.0,19.0
15,59.0,18.0
19,85.0,17.0
14,58.0,17.0
35,456.0,14.0
8,18.0,13.0
23,109.0,11.0
6,10.0,9.0
