frame,experiment 1 frame 1,experiment 1 frame 2,experiment 1 frame 3,experiment 1 frame 4,experiment 1 frame 5,experiment 1 frame 6,experiment 2 frame 1,experiment 2 frame 2,experiment 2 frame 3,experiment 2 frame 4,experiment 2 frame 5,experiment 2 frame 6,experiment 3 frame 1,experiment 3 frame 2,experiment 3 frame 3,experiment 3 frame 4,experiment 3 frame 5,experiment 3 frame 6,experiment 4 frame 1,experiment 4 frame 2,experiment 4 frame 3,experiment 4 frame 4,experiment 4 frame 5,experiment 4 frame 6
minute,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0.604055,0,4.231551,0.357781,4.726469,0.380521,,,2.568315,4.09976,4.268956,3.239316,5.793393,4.164835,4.186989,5.685,4.225195,4.067979,2.449903,3.340545,4.915474,0
15,0.781947,0,0.394662,0,0.894849,0,1.208207,0.469388,8.899912,13.86999,1.396499,3.900935,1.582988,1.170281,,4.611772,5.498461,4.801151,3.971861,4.723295,2.21053,1.722564,0,0
30,0.586034,0,0.592708,0,2.011848,0,0.94275,0.340129,8.60735,17.16879,1.118956,2.673342,0.998831,1.23385,6.689141,4.389749,3.919655,4.882715,4.610546,4.93987,1.876859,1.83119,6.096523,17.24648
45,0.465926,0,0.703437,0,1.613355,0,0.597209,0.143172,10.32258,14.23265,1.311948,2.788039,1.527406,1.170536,9.06395,4.115269,3.985142,5.377986,4.374447,5.525617,1.615293,1.995362,6.658262,17.53462
60,0.439731,0,0.64958,0,1.482458,0,1.115294,0.399275,11.04579,14.25987,1.320787,3.493151,1.353184,1.24856,9.226974,3.920455,4.290865,6.375,5.636433,5.902778,1.917293,2.166262,5.764628,14.12184
75,0.420835,0.178397,0.211775,0.152203,1.462505,0.124652,0.746025,0.391812,12.52081,16.8303,1.573267,3.311059,1.380673,1.555096,6.466444,3.804195,4.878378,6.414771,5.922888,5.767651,2.221083,2.813372,5.108491,10.59077
90,0.368438,0.153185,0.196953,0,1.342579,0.108337,1.007593,0.345596,11.81933,14.02525,1.572618,3.522289,1.512287,1.587902,6.495547,3.402647,5.057675,7.285546,6.616257,7.453416,3.451709,3.62949,6.371072,10.21739
105,0.353249,0.149378,0.191412,0,1.259802,0,0.955208,0.337786,13.70181,13.9098,1.59358,3.407043,1.373747,1.709277,4.612879,3.412737,5.224201,7.810486,7.339641,7.917187,3.525171,4.203332,5.857865,7.572362
120,1.054928,0.147463,0.196383,0.122996,0.875366,0.104157,1.170713,0.341902,15.14851,21.47203,2.003632,6.10335,2.430243,2.484768,4.509126,2.626368,8.446782,10.42406,8.531704,9.056971,4.787941,6.534653,8.116851,7.824197
135,0.71997,0,0.201245,0,1.786449,0.10639,1.491366,0.580782,14.25577,20.97378,2.735043,7.157287,2.518519,2.288984,4.778973,2.346306,8.435374,11.77489,9.456265,12.65537,5.572139,7.407407,9.337823,8.187135
