LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(pixel),(pixel),(pixel),(pixel),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(quality),(pixel),(pixel),,(pixel/sec),,(rad/sec)
Track_1575,0,0,18,1,0,0,0,1,18.0,0.0,18.0,31.216465679575748,1630.0263200590553,534.1341534361808,0.0,7.035359693706636,23.88142884867048,0.2788252089169956,2.168444381811209,8.371979582673017,31.10723198784722,120.24681736528903,41.535965671116465,0.2596032590596184,1.7342480933097637,0.24650453833385472,1.3004832073911812
Track_1576,1,1,15,1,0,0,0,1,15.0,0.0,15.0,22.83542109081955,1591.0357350840907,562.0037340362674,0.0,7.36048466048532,28.759567430234075,0.3795321391997596,1.8229143953379294,9.739125259376117,19.043318684895834,104.38268255027255,25.080562070472585,0.21876637515827022,1.5223614060546367,0.2068289625311519,0.8857581539368689
Track_1577,2,2,30,0,0,0,0,0,29.0,0.0,29.0,331.6447585730536,1505.2491000838263,601.8767455691907,0.0,16.927028663060696,112.01914047940778,0.43613632961543175,7.51254241621049,26.23969335576464,27.546506754557292,490.8838312287602,331.6447585730536,0.6756074196676922,11.436026157691503,0.6756074196676922,1.2669354457642983
Track_1578,3,3,97,0,0,0,0,0,96.0,0.0,96.0,146.05182022994717,618.7531187237488,934.7157272905257,0.0,8.10119698685625,64.52667054812923,0.11632712852007171,1.8446968313627818,13.056370054293536,40.02291335273035,777.7149107382,204.020137304333,0.18779609110402176,1.521373127395283,0.1877960911040218,1.4175095391666876
Track_1579,4,4,96,1,0,0,0,1,96.0,0.0,96.0,97.70567285869117,683.7264339773478,201.3856143430711,0.0,8.925195433386424,82.35693120409638,0.06498090809512547,2.294738122750707,13.620708094175203,23.190467834472656,859.0058018197337,97.70567285869117,0.11374273916626602,1.0177674256113665,0.11403306887871721,1.3912466169107938
Track_1580,5,5,19,0,0,0,0,0,18.0,0.0,18.0,26.69650252113528,1594.284061981953,552.583359668428,0.0,8.462148324525725,27.66931261230876,0.1840598809018238,6.900939874602551,8.106759480016212,17.181258352179277,152.31866984146308,36.216933984749666,0.17526743470725972,1.48313902895196,0.17526743470725975,1.688736623874831
Track_1581,6,6,19,1,0,0,0,1,19.0,0.0,19.0,21.422128325549878,1568.0422541654523,568.3085979795605,0.0,4.080005881827447,29.31802770293282,0.67088579066505,2.044398472194367,6.668667937146322,15.958017449629935,74.55229679777719,23.339518731882364,0.287343639910348,1.1274804381868357,0.2763428462710533,1.340755715889689
Track_1582,7,7,26,1,0,0,0,1,26.0,0.0,26.0,17.5900930779343,1592.8248848685685,550.4352663331576,0.0,8.995772159091393,38.097099926629724,0.5769347173336983,2.6825609275974465,10.949742927878175,17.375929612379807,238.06842826230226,97.43235104994822,0.07388671066687451,0.6765420414590115,0.07520666703138743,1.508090873092032
Track_1583,8,8,18,1,0,0,0,1,18.0,0.0,18.0,29.45211604329184,1590.0016832967683,570.5494076048985,0.0,3.273981021476364,26.57747174025546,0.40477680572207814,1.02923890542271,6.590475835250527,19.268008761935764,67.8230751302047,32.958734402382596,0.43424919891571645,1.636228669071769,0.49976730418978743,1.1738595675072274
Track_1584,9,9,13,0,0,0,0,0,12.0,0.0,12.0,21.26469137781243,1597.617805995843,397.5899238373474,0.0,10.651707218911401,26.08823817945933,0.13762882572502239,2.532526274270674,11.345179116287332,13.618450458233173,127.8204866269368,28.592772665839743,0.16636371789036142,1.7720576148177025,0.16636371789036142,1.5302687229576974
Track_1585,10,10,5,1,0,0,0,1,5.0,0.0,5.0,83.42924137207409,1508.5076447468623,591.1731875095356,0.0,17.40342455626765,36.13148231099486,0.9732312764549195,30.064524258717984,18.300869318254378,15.6234130859375,105.74518053606546,83.42924137207409,0.7889649528152226,16.685848274414816,0.9587680987995889,0.8979895031295736
Track_1586,11,11,91,1,0,0,0,1,91.0,0.0,91.0,204.39614670323692,1033.3476985889486,701.1758496323419,0.0,11.646273230347868,80.54140679171768,0.14714408524524802,2.817436766241353,17.6817192121896,23.82421673785199,1068.4391825021132,301.78505391675606,0.19130349209449052,2.2461115022333726,0.19286096571909833,1.567032279634647
