frame,experiment 1 frame 1,experiment 1 frame 2,experiment 1 frame 3,experiment 1 frame 4,experiment 1 frame 5,experiment 1 frame 6,experiment 2 frame 1,experiment 2 frame 2,experiment 2 frame 3,experiment 2 frame 4,experiment 2 frame 5,experiment 2 frame 6,experiment 3 frame 1,experiment 3 frame 2,experiment 3 frame 3,experiment 3 frame 4,experiment 3 frame 5,experiment 3 frame 6,experiment 4 frame 1,experiment 4 frame 2,experiment 4 frame 3,experiment 4 frame 4,experiment 4 frame 5,experiment 4 frame 6
minute,,,,,,,,,,,,,,,,,,,,,,,,
0,1.811123,1.596402,1.579467,1.854839,2.638506,0.766244,1.012098,1.50776,2.146989,2.103886,1.284158,2.04988,2.134478,1.619658,2.896696,2.082418,2.363235,0.19026,6.878521,0,0.302028,0,2.115775,0.17889
15,2.470698,1.777856,2.601885,1.576093,2.183265,1.545113,1.157532,0.963093,0.889991,1.386999,0.69825,1.950468,0.791494,0.58514,5.640789,2.305886,0.604104,0.234694,0.390974,0,0.197331,0,0.447424,0
30,2.083669,1.692208,1.662616,1.71815,1.498962,1.371931,1.098525,0.941964,0.860735,1.716879,0.559478,1.336671,0.499415,0.616925,3.34457,2.194874,0.471375,0.170065,0.293017,0,0.296354,0,1.005924,0
45,1.757674,1.504411,1.75329,1.480577,1.173184,1.299465,1.054604,0.899697,1.032258,1.423265,0.655974,1.39402,0.763703,0.585268,4.531975,2.057634,0.298604,0.071586,0.232963,0,0.351718,0,0.806677,0
60,1.691256,1.605581,1.727909,1.824985,1.53739,1.63311,1.127119,1.030126,1.104579,1.425987,0.660394,1.746575,0.676592,0.62428,4.613487,1.960227,0.557647,0.199638,0.219865,0,0.32479,0,0.741229,0
75,1.49711,1.875878,1.91185,1.825665,1.465067,1.728226,1.079633,1.156749,1.252081,1.68303,0.786634,1.655529,0.690337,0.777548,3.233222,1.902098,0.373013,0.195906,0.210417,0.089199,0.105887,0.076101,0.731252,0.062326
90,1.483436,1.687156,2.0101,1.988684,1.362526,1.575757,0.933261,1.141538,1.181933,1.402525,0.786309,1.761145,0.756144,0.793951,3.247774,1.701323,0.503797,0.172798,0.184219,0.076593,0.098476,0,0.671289,0.054168
105,1.477408,1.644344,2.091853,2.056247,1.566496,1.654148,1.13362,1.13362,1.370181,1.39098,0.79679,1.703522,0.686874,0.854638,2.30644,1.706368,0.477604,0.168893,0.176625,0.074689,0.095706,0,0.629901,0
120,1.79253,2.117209,2.85993,2.540843,2.113763,2.440892,1.646867,1.86803,1.514851,2.147203,1.001816,3.051675,1.215122,1.242384,2.254563,1.313184,0.585356,0.170951,0.527464,0.073732,0.098191,0.061498,0.437683,0.052079
135,1.746517,2.347995,2.981501,2.876238,2.131427,2.399255,1.803873,2.12077,1.425577,2.097378,1.367521,3.578644,1.259259,1.144492,2.389486,1.173153,0.745683,0.290391,0.359985,0,0.100622,0,0.893224,0.053195
150,1.877256,2.676033,3.289881,3.368721,2.625465,2.88166,2.012331,2.45234,1.501604,2.501019,1.477823,4.637306,1.159326,1.294132,2.21326,1.521988,1.00837,0.285914,0.731737,0.146347,0.096371,0,1.071067,0.052267
165,1.858356,2.449214,2.919641,3.08395,2.386574,2.27013,1.742015,2.126621,1.460278,2.177346,1.731979,5.311404,1.31247,1.284076,2.379785,1.525489,1.00837,0.285914,0.731737,0.146347,0.096371,0,1.071067,0.052267
180,1.974362,2.730909,4.003047,3.747049,3.16553,2.924733,2.610174,2.969659,1.716422,2.673797,2.192513,5.386997,2.160046,1.618228,3.345551,1.936535,0.806889,0.216028,1.537835,0.212546,0.652914,0,1.30483,0.050393
195,2.332481,3.040618,4.258865,4.395319,3.079893,3.156781,2.368653,3.429016,1.806838,2.69729,2.282322,5.953883,2.504495,1.749069,3.511264,1.720703,1.31351,0.279402,2.128821,0.213441,0.612437,0.127152,1.582792,0.150649
210,2.228889,2.781509,3.543143,3.752706,2.759256,2.96391,2.157084,3.074763,1.979667,3.029491,2.630873,6.34948,2.370906,1.950494,3.922393,1.779225,0.837055,0.289038,2.615798,0.50425,0.481066,0.127019,1.790493,0.151275
225,2.485616,3.133046,4.004337,4.170416,3.44256,3.224287,2.446432,3.381757,2.165482,3.453386,2.717359,6.966726,2.501566,2.197054,5.191116,2.287985,1.538327,0.413907,4.045944,0.507783,0.51112,0.193367,1.975137,0.263866
240,2.862569,3.446475,4.602218,4.449099,3.687732,3.532757,2.945419,3.981513,2.866981,3.922009,3.43074,8.296822,3.26689,2.65793,5.207373,2.907184,2.003172,0.409283,4.128921,0.884769,1.124349,0.570073,2.252982,0.310436
255,3.221941,3.847273,4.953846,4.844444,4.212632,3.532757,3.476744,4.118954,2.693526,3.995547,3.913152,8.111702,3.229483,2.583587,5.224586,3.128235,2.341456,0.527111,4.968345,0.436209,1.35084,0.575396,3.064101,0.31212
270,3.16281,3.720789,4.991465,4.741983,4.263287,3.974469,3.446918,4.102351,2.910839,3.840768,4.125437,8.081842,3.469755,3.008182,4.958859,3.347845,3.137996,0.708572,5.306905,0.903303,1.732867,0.794794,2.636972,0.322037
285,3.631363,4.475891,5.759419,6.355221,4.657617,5.16044,4.550652,6.133107,2.79004,4.463616,4.243472,9.561621,4.112903,3.163772,5.357805,3.554361,3.744493,0.944864,7.104936,0.851665,2.151182,0.875837,3.476483,0.718209
300,3.723398,4.600164,5.65647,6.289181,5.017345,5.271814,4.340565,4.913307,2.100795,5.086436,4.277615,9.459902,3.564853,3.014184,5.300807,3.331467,3.665872,1.116873,6.643964,0.833409,2.138918,1.051708,2.624549,0.601321
315,3.992023,4.699607,6.448652,9.229263,5.338638,6.210491,4.953031,6.492371,2.549298,5.680214,4.532086,10.10432,3.988235,3.234164,5.626037,3.500976,4.333715,1.408334,7.949522,0.930263,2.849077,1.470783,3.801945,1.137123
330,3.886382,4.269094,8.534467,7.798277,5.609589,6.283966,6.250996,8.877127,2.800281,6.075844,4.225293,9.805977,4.450429,3.428867,5.929106,4.026074,4.333715,1.408334,7.949522,0.930263,2.849077,1.470783,3.801945,1.137123
345,4.107248,4.806756,8.737592,8.03222531,5.595472,7.945153,7.978097,9.956863,2.697194,5.791895,4.40613,10.11448,4.667109,3.454127,6.026396,4.164307,0.101353,2.975204,0.194546,1.374151,0.119565,2.135479,0.266935,2.029955
360,4.479398,5.08167,8.99971976,8.273192069,6.540875,8.18350759,14.95737,13.8591,2.592593,5.55787,4.592367,9.340959,4.624288,3.01182,6.282051,3.435814,0,3.349581,0,1.349582,4.684847,2.286125,7.25692,2.157571
375,4.640832,5.533299,9.269711353,8.521387831,6.712163,8.429012818,14.23957,15.77555,2.888908,5.699027,5.133096,10.54451,4.565607,3.078492,5.859846,3.864097,0,3.434609,0,1.341566,5.644477,2.536986,9.54576,2.626024
390,4.636542,5.795678,9.547802693,8.777029466,8.95515,8.681883202,23.67228,16.64485,2.710183,5.705648,4.75752,10.19961,5.239687,3.28507,5.839012,3.825598,0,4.939292,0,1.88421,6.547856,3.389112,9.715137,2.937211
405,4.015903,4.513448,12.551,16.04777,11.15562,13.52824,19.08972,12.29822,2.469066,5.0213,5.215134,9.818917,4.368347,3.533507,6.019582,3.82818,0,3.966868,0,1.619223,6.497382,3.609782,9.936323,3.063029
420,4.3361,4.514295,15.75593,13.98742,9.295351,11.10465,14.61426,14.50403,2.460209,4.862382,5.263078,9.932305,4.360099,3.824679,6.043768,3.81839,0,4.716615,0,1.717223,6.734033,3.798118,9.803357,3.176407
435,4.667193,4.833125,7.65231,8.555477,6.11117,6.611491,6.664383,9.598262,2.473404,4.620596,4.683236,9.328704,4.763593,3.723724,6.150794,3.505025,0,5.79538,0,1.941273,7.417435,3.959501,9.641516,3.525066
450,4.233515,4.384171,7.076995,6.969315,6.05284,5.605291,10.51436,8.581548,2.832123,4.434133,4.729741,8.928389,4.284772,3.704304,6.037242,3.52372,0,5.587045,0,2.042402,6.972951,4.091596,8.172054,3.452501
465,4.377802,4.526959,8.607888,6.599611,5.437717,5.333982,6.081737,7.94258,2.516257,4.706782,4.673401,8.867778,4.417824,3.747456,5.559173,3.555679,0,5.756705,0,2.219341,8.251616,4.107424,9.454457,3.74137
480,5.471101,5.4375,8.678235,7.889087,7.051535,7.254051,8.200231,8.95073,2.88649,4.493562,4.761697,8.393148,4.111756,3.797377,5.955323,3.515372,0,6.715389,0,2.748365,8.751421,4.670889,9.79726,3.917724
