Condition,VH + ζ + SKOV + Her 1,VH + ζ + SKOV + Her 2,VH + ζ + SKOV + Her 3,VL + ζ + SKOV + Her 1,VL + ζ + SKOV + Her 2,VL + ζ + SKOV + Her 3,VH + ζ + SKOV 1,VH + ζ + SKOV 2,VH + ζ + SKOV 3,VL + ζ + SKOV 1,VL + ζ + SKOV 2,VL + ζ + SKOV 3
Seconds,,,,,,,,,,,,
23.615,1.039945,1.047934,1.03595,1.000507,1.034532,1.027625,1.00806,1.009672,1.016121,1.003985,1.004782,1.009962
24.115,1.03994,1.047928,1.035946,0.99898,1.03546,1.028368,1.008117,1.009741,1.016234,1.004972,1.005967,1.01243
24.615,1.040093,1.048112,1.036084,0.996524,1.038148,1.030518,1.00867,1.010404,1.01734,1.005705,1.006846,1.014263
25.115,1.03994,1.047928,1.035946,0.996376,1.040658,1.032527,1.009481,1.011378,1.018963,1.006153,1.007384,1.015383
25.615,1.040157,1.048188,1.036141,0.997347,1.043354,1.034683,1.010495,1.012594,1.020991,1.006147,1.007376,1.015367
26.115,1.03953,1.047435,1.035577,0.997347,1.045314,1.036251,1.011148,1.013378,1.022297,1.00646,1.007752,1.016149
26.615,1.038569,1.046283,1.034712,0.995742,1.048008,1.038407,1.011836,1.014203,1.023672,1.006738,1.008086,1.016846
27.115,1.038249,1.045898,1.034424,0.995444,1.04909,1.039272,1.012037,1.014445,1.024074,1.007206,1.008647,1.018016
27.615,1.038079,1.045695,1.034271,0.99528,1.050898,1.040718,1.012632,1.015159,1.025265,1.007206,1.008647,1.018016
28.115,1.038193,1.045831,1.034373,0.991986,1.053766,1.043013,1.013014,1.015617,1.026028,1.007634,1.009161,1.019086
28.615,1.038649,1.046379,1.034784,0.994185,1.057449,1.045959,1.013499,1.016199,1.026998,1.008444,1.010133,1.02111
29.115,1.038413,1.046096,1.034572,0.994274,1.05904,1.047232,1.013666,1.016399,1.027332,1.009279,1.011135,1.023199
29.615,1.038,1.0456,1.0342,0.995136,1.062532,1.050026,1.013968,1.016761,1.027935,1.009765,1.011718,1.024412
31,1.039296,1.047155,1.035366,1.045994,1.065009,1.052007,1.0168,1.020161,1.033601,1.034945,1.041934,1.087362
31.5,1.043647,1.052376,1.039282,1.054414,1.065601,1.05248,1.008899,1.010679,1.017798,1.096785,1.116142,1.241962
32,1.064846,1.077815,1.058361,1.062835,1.209543,1.167634,1.011887,1.014264,1.023773,1.056126,1.067351,1.140314
32.5,1.085649,1.102779,1.077084,1.054414,1.530613,1.424491,1.019154,1.022985,1.038308,1.057196,1.068635,1.14299
33,1.128216,1.15386,1.115395,1.029819,1.758859,1.607087,1.014419,1.017303,1.028839,1.038772,1.046526,1.096929
33.5,1.158914,1.190697,1.143022,1.001356,1.839389,1.671512,1.002148,1.002578,1.004296,1.034045,1.040854,1.085112
34,1.180334,1.216401,1.162301,0.991799,1.87596,1.700768,0.996475,0.99577,0.99295,1.016614,1.019937,1.041535
34.5,1.182626,1.219151,1.164364,0.988428,1.88278,1.706224,0.988551,0.986261,0.977101,1.001289,1.001547,1.003223
35,1.179509,1.215411,1.161558,0.990113,1.88533,1.708264,0.983225,0.97987,0.96645,0.998701,0.998442,0.996753
35.5,1.179573,1.215487,1.161615,1.006308,1.896697,1.717358,0.983201,0.979841,0.966402,0.979343,0.975212,0.948358
36,1.181524,1.217828,1.163371,1.006308,1.904442,1.723553,0.977531,0.973037,0.955061,0.970756,0.964907,0.92689
36.5,1.185825,1.22299,1.167243,1.006308,1.916537,1.733229,0.968253,0.961903,0.936505,0.955169,0.946203,0.887923
37,1.187433,1.22492,1.16869,1.006308,1.926759,1.741407,0.953236,0.943883,0.906472,0.945054,0.934065,0.862636
37.5,1.190473,1.228567,1.171425,1.006308,1.936122,1.748897,0.945171,0.934205,0.890342,0.942445,0.930934,0.856112
38,1.190788,1.228946,1.171709,1.006308,1.943378,1.754703,0.938173,0.925808,0.876347,0.936022,0.923226,0.840054
