"FSC-A", "FSC-H", "SSC-A", "FL-A", "PE-A", "PerCP-A", "Cy55PerCP-A", "Cy7PE-A", "APC-A", "Alexa700-A", "Cy7APC-A", "PacB-A", "AmCy-A", "QDot605-A", "BUV395-A", "BUV737-A", "BUV496-A", "Time", "Event #", "Comp-FL-A", "Comp-PE-A", "Comp-PerCP-A", "Comp-Cy55PerCP-A", "Comp-Cy7PE-A", "Comp-APC-A", "Comp-Alexa700-A", "Comp-Cy7APC-A", "Comp-PacB-A", "Comp-AmCy-A", "Comp-QDot605-A", "Comp-BUV395-A", "Comp-BUV737-A", "Comp-BUV496-A"
113692,103417,88985.5,546.22,124.62,193.44,499.1,160.58,165.76,47.36,-15.36,894.6,2795.98,1626.61,1377.28,138.24,29971.8,1.185,194,536.723,-6.38367,186.057,65.8326,109.164,163.179,96.5627,14.0816,710.815,2378.97,174.03,1006.22,-828.791,21048.3
125088,106480,108554,402.38,37.82,99.2,202.74,76.26,80,-123.52,-46.08,612.73,2068.23,986.19,780.16,411.52,45355.5,1.235,210,397.853,-71.7836,102.825,-25.5484,57.3171,80.5196,-96.4807,-11.089,475.561,1801.18,-29.9211,35.7617,-319.384,38777.8
170071,125920,244576,871.72,298.22,146.94,270.94,-26.66,152.96,-3.84,26.88,553.8,2047.64,1057.9,350.72,33.28,12130.6,1.249,215,865.255,164.444,129.231,-45.5018,-49.4823,152.607,-2.78041,56.2393,415.164,1765.29,-50.0589,262.504,-398.698,5543.54
175249,127690,145805,481.74,269.08,108.5,458.8,36.58,38.4,-19.2,5.76,989.03,2653.98,1315.63,622.08,181.12,39962.9,1.249,217,471.655,162.759,81.5801,256.88,-20.9175,32.2783,44.2066,37.5079,818.468,2202.68,71.3777,17.2187,-536.695,31817.1
188094,151732,181749,290.78,188.48,178.56,468.72,112.84,183.68,403.84,-6.4,1166.53,3701.94,1649.33,1475.84,561.28,63415,1.261,222,279.964,58.6448,167.995,91.1862,60.1504,180.734,436.769,-50.6695,921.084,3189.87,-173.927,448.478,-694.148,51751.6
182818,114313,252139,1049.04,430.28,677.66,1822.18,315.58,45.44,8.32,-88.32,343.64,888.92,693.67,-3.2,-30.72,542.72,1.261,225,1035.44,158.665,645.849,340.894,106.86,35.9911,233.643,-29.7795,283.285,639.296,-632.62,111.749,-1411.56,-2028.63
182375,132921,144658,334.8,132.68,101.06,81.22,-3.72,140.8,241.28,25.6,1001.1,2445.24,1109.02,1029.12,123.52,46439.7,1.292,235,328.982,28.8341,101.696,-143.19,-1.94849,142.136,315.437,19.4276,848.727,1973.94,-22.6085,267.76,-681.995,39066.2
188396,138104,141166,315.58,98.58,127.72,132.06,143.22,174.08,152.96,142.08,920.87,2459.44,753.31,1272.96,293.12,44296.3,1.62,320,309.509,-9.4771,132.306,-137.195,134.887,174.089,174.863,137.432,764.825,2033.98,-444.503,565.669,-587.089,36655.2
238989,179945,239226,582.8,331.08,453.84,1199.08,188.48,423.68,362.24,110.72,1522.24,4252.9,2487.13,1682.56,877.44,46691.8,1.685,338,563.775,123.501,431.198,170.039,55.3628,416.581,276.202,86.8059,1247.62,3550.48,66.6502,1044.29,-831.969,33418.4
200132,148012,147202,349.06,197.78,430.28,977.12,120.9,167.68,72.96,83.2,1096.95,2805.21,1845.29,682.24,435.2,18040.3,1.688,339,336.983,44.0871,424.554,-27.8555,20.598,164.683,116.902,109.952,920.2,2297.62,73.5372,534.568,-719.62,9423.26
184386,133106,236386,816.54,226.3,151.28,577.84,42.16,2.56,-23.04,51.84,1241.79,3608.93,1450.53,1068.16,373.76,51754.9,1.716,346,805.601,61.5438,129.917,294.039,-33.3438,-5.17873,60.7409,91.907,1006.09,3032.07,-251.784,292.093,-627.211,40493.1
200766,149680,219727,274.04,67.58,30.38,111.6,-76.26,90.24,216.32,-42.24,1018.14,2857.04,1387.34,1458.56,497.28,67782.4,1.754,356,267.815,-31.0591,28.2166,50.8265,-87.8055,89.0124,259.091,-49.0107,833.773,2402.79,174.39,289.28,-473.231,58942.4
179702,140153,145040,608.22,392.46,620,1843.88,259.16,217.6,365.44,193.28,886.08,2921.65,1894.99,1120,836.48,42245.1,1.761,357,588.984,146.891,585.1,473.092,39.0499,202.304,412.097,178.117,687.295,2492.21,-232.379,495.249,-1092,32977.2
245790,147330,242513,770.66,173.6,186,819.02,8.68,-7.04,204.16,7.04,1346.87,3695.55,1831.8,1493.12,492.8,65917.4,1.875,396,757.957,-8.93359,163.534,447.486,-98.5416,-17.8468,324.818,20.8322,1106.75,3057.62,82.4702,428.54,-855.228,54529.5
221949,160556,236871,342.86,190.96,67.58,304.42,45.26,97.28,71.04,24.32,1090.56,2847.1,1290.07,1172.48,483.84,56557.4,1.889,401,333.521,90.5297,50.1571,183.686,6.19583,92.7441,80.4108,31.5344,909.518,2358.01,33.7408,235.417,-403.406,47817.4
209899,156984,170928,605.74,172.36,160.58,502.82,61.38,28.8,83.2,-80,825.02,2369.27,1438.46,846.08,402.56,31801.6,1.891,403,597.627,43.158,146.482,138.636,4.95936,26.0402,128.287,-75.8097,670.884,1973.77,234.206,368.399,-392.584,24454.6
186794,143573,183078,254.82,94.24,130.82,86.8,-44.02,120.96,291.2,154.88,798.04,2269.16,1168.66,1002.24,625.28,47080.3,1.909,407,250.63,-10.0789,139.134,-244.021,-41.3205,122.85,286.845,120.174,651.95,1903.06,32.1257,188.031,-211.75,40035.1
166299,135381,140726,375.72,100.44,131.44,249.24,55.8,76.8,95.36,3.2,664.56,2083.85,1001.1,833.92,354.56,31873.3,1.91,410,370.562,-0.579741,130.799,-51.5063,32.9367,76.9545,122.056,2.70607,527.587,1778.33,-67.52,339.462,-345.533,25295.3
243594,170261,235832,807.24,296.36,183.52,413.54,2.48,26.24,112.64,-24.32,1201.32,3444.21,1729.56,1583.36,625.28,82706.6,1.935,420,798.158,91.1705,169.956,13.5541,-37.4221,24.6292,244.422,-1.91509,977.744,2874.27,38.9006,168.915,-751.081,72062.7
108396,97644,147785,761.36,268.46,193.44,216.38,42.16,92.16,109.44,48.64,1060.03,3253.93,1777.84,966.4,202.88,34901.1,1.954,427,753.938,110.502,188.059,-239.759,36.4468,94.758,195.362,63.7102,847.586,2750.81,114.145,496.528,-633.736,24665
169347,132772,135641,527,163.68,63.24,62,71.92,5.12,-36.48,19.2,828.57,2176.86,1149.49,1147.52,373.76,44306.6,1.993,443,522.025,50.9785,58.287,-88.6254,73.6821,6.00216,20.1663,40.0604,691.288,1782.78,165.436,414.745,-333.288,37590.9
139711,117572,165761,345.34,135.78,65.72,79.36,179.8,101.76,141.44,32,1085.59,2568.07,1194.22,897.92,476.8,38906.2,2.014,448,338.293,47.2121,61.7072,-80.1285,177.664,102.756,124.638,-0.447847,927.49,2067.11,70.4076,271.264,-169.093,31178.6
222246,161709,151575,596.44,135.16,111.6,313.1,100.44,298.24,70.4,-20.48,1082.75,3028.86,1790.62,1518.72,462.08,58132.5,2.03,453,586.196,-7.78343,103.219,55.5666,70.3498,296.583,27.4216,-5.48265,888.247,2528.67,389.593,583.61,-602.889,48694.5
