frame,experiment 1 frame 1,experiment 1 frame 2,experiment 1 frame 3,experiment 1 frame 4,experiment 1 frame 5,experiment 1 frame 6,experiment 2 frame 1,experiment 2 frame 2,experiment 2 frame 3,experiment 2 frame 4,experiment 2 frame 5,experiment 2 frame 6,experiment 3 frame 1,experiment 3 frame 2,experiment 3 frame 3,experiment 3 frame 4,experiment 3 frame 5,experiment 3 frame 6,experiment 4 frame 1,experiment 4 frame 2,experiment 4 frame 3,experiment 4 frame 4,experiment 4 frame 5,experiment 4 frame 6
minute,,,,,,,,,,,,,,,,,,,,,,,,
0,0.217916,0.686802,1.349346,0.281036,1.116445,0,1.307495,1.273446,8.384956,2.178616,7.168979,2.634384,10.69175,5.367472,13.69347,7.866401,0,0,0,0,0.568973,4.043658,0.867661,1.35042
15,0.49799,1.153535,1.414204,0.252069,1.38895,0.544469,0.712241,1.361171,6.42507,1.872449,4.31968,5.480884,6.653372,6.001439,22.07279,13.1434,0,0,0,0,0.344314,2.127805,6.884104,0.810347
30,0.653711,1.21578,2.409046,0.522444,1.469927,0.466267,1.314025,1.782034,8.367145,2.417383,7.300692,6.371048,5.500132,6.013514,19.73348,8.226369,0,0,0,0,0,0.888051,1.204625,1.1313
45,0.485151,0.666927,2.178064,1.208336,0.99117,0.358473,1.458195,1.405776,8.561828,1.890811,8.748893,8.047432,7.439794,6.226784,16.27391,10.43728,0,0,0.372099,0,0.428522,1.103008,1.320241,3.213008
60,1.718577,1.310559,2.680715,0.958985,1.661901,0.60691,1.218935,1.587588,9.401334,2.183219,10.82176,8.164703,7.96875,6.929348,16.50984,11.54656,0,0,0,0,0,0.51453,1.211761,1.252956
75,1.705983,1.724977,4.582711,1.317571,2.157996,0.835021,1.248555,2.080925,12.09396,2.343344,10.90227,9.269439,10.05608,6.40697,15.39793,11.4295,0,0,0.334381,0,0.376579,0.682671,1.461058,1.196057
90,2.139846,2.350435,4.751146,2.395369,2.634204,2.449809,1.870339,2.630668,12.17391,3.847634,15.01035,10.86957,10.17227,7.580092,15.59546,11.32767,0,0,0.901345,0.566076,0.333897,0.44597,1.308997,1.048804
105,2.192459,2.40407,4.430754,2.581982,2.574142,2.14319,2.257325,2.159875,12.3811,4.46073,17.549,12.3706,10.40259,9.691554,16.78199,9.300477,0,0,0.278535,0.556129,0.480392,0.143642,0.976939,0.694575
120,3.640536,2.941495,5.653538,4.462826,4.54767,3.125533,2.288337,3.746984,15.33057,5.498209,20.93523,15.80965,13.88945,13.57288,17.15603,10.02028,0.231461,0,0.852688,0.554104,0.812284,0.139939,1.019002,1.064022
135,4.30128,4.624732,6.307123,4.978334,5.343673,3.181155,2.495024,4.167988,23.16785,7.607608,22.49657,16.71415,17.77778,14.16853,18.18182,12.20044,0,0,0.575976,0,0.658258,0.14512,0.772109,1.851807
150,4.631076,5.003856,7.728409,6.061182,6.916366,4.147055,2.638529,4.267812,28.22708,9.274611,29.85663,19.75895,21.22855,16.26858,24.14692,14.29836,0,0,1.138538,0.551242,1.460603,0.58384,1.276024,1.837474
165,5.002755,4.740854,7.798493,5.763692,6.109095,3.687331,2.415435,4.767348,32.37427,12.27231,30.76102,25.66029,20.03936,15.42503,28.69537,15.41442,0,0,0,0,0,0,0,0
180,5.539913,6.242863,7.806353,5.707166,7.172585,4.508482,2.566941,6.036638,34.51785,13.46749,35.73588,28.26228,27.20827,17.77497,34.15691,17.62826,0.945749,0.373094,2.220734,2.105745,2.085497,1.303668,2.276857,4.567374
195,6.873185,7.162133,9.873942,6.594694,9.570576,5.236181,3.307267,6.025521,37.79329,15.08317,36.37451,28.15575,26.41576,18.81373,33.63422,16.77913,0.953079,0.372706,2.504281,3.657556,3.419339,1.295394,1.782915,5.440848
210,6.411007,6.419411,9.984802,6.273873,8.777419,6.439598,3.02765,6.165078,39.5151,14.88629,38.75966,30.29491,26.93642,17.28952,32.18834,18.17694,2.451114,0.38574,3.663879,3.829665,3.174462,1.636908,3.726161,7.743684
225,6.495962,6.982872,10.62765,6.435339,8.65558,6.980386,2.827003,6.640316,38.45763,16.33828,40.52075,31.81069,28.32981,18.20812,37.32175,17.91444,2.894986,1.901736,3.708386,5.066225,3.195826,1.873178,4.221854,8.810826
240,7.744189,8.486006,11.94571,8.512402,10.41958,7.644361,4.076993,7.488354,44.99496,18.22581,53.30189,32.2933,33.71774,20.94745,43.37742,20.05618,4.381344,4.560581,6.013095,8.772265,6.007951,2.858484,5.317052,11.51969
255,8.657303,10.84175,14.62762,10.63441,12.52582,10.42667,5.594595,11.22619,43.18073,19.65772,50.05699,29.86531,31.28562,20.24232,39.68315,20.21709,4.646102,4.226023,5.084444,10.98388,6.018115,3.361777,6.31099,12.33848
270,8.887353,10.92312,15.19338,10.30685,11.83054,10.14909,5.389222,10.83972,42.11276,20.19445,51.23311,32.58864,30.42936,21.42203,39.6432,21.48485,5.198601,7.142003,6.543015,14.53947,8.465135,4.350537,10.85741,16.7869
285,10.09516,11.70892,18.1822,12.01966,13.84424,12.62338,5.759419,12.66399,47.27475,20.96281,50.87239,30.33114,32.1585,23.47979,40.43862,20.67332,4.850396,6.026232,7.451238,12.62599,8.969083,5.877269,12.1243,20.58405
300,11.73207,14.72918,20.83343,14.95137,14.7076,14.9974,7.124834,14.86922,46.19565,21.57882,50.14507,31.20881,33.01583,21.90722,38.36235,20.79787,4.57261,5.385275,5.658824,16.04043,10.4257,6.095065,12.03185,15.52747
315,13.69873,15.57513,24.52304,16.56698,16.04182,15.68591,7.851443,16.6873,47.8959,21.92945,50.65272,31.52755,32.34261,24.83776,43.12791,20.55035,4.966966,5.531784,8.576016,19.5044,13.39657,7.617408,14.28264,19.34443
330,14.57393,17.31355,25.65626,16.58749,16.63099,17.32565,7.35009,17.73146,50.72314,23.45693,61.15556,31.38246,35.91447,23.62828,47.84368,20.04409,4.966966,5.531784,8.576016,19.5044,13.39657,7.617408,14.28264,19.34443
345,14.62816,17.91601,25.32654,17.2145,17.86316,17.18073,8.101039,19.70815,51.01527,24.16086,63.86771,34.53281,35.06532,26.96334,43.95455,22.10246,6.988251,6.670141,11.99899,25.72546,15.17457,11.72593,18.21334,29.80497
360,17.31977,19.14858,25.70066,18.59556,19.09326,18.54123,9.718693,19.37925,46.75926,24.65331,59.06709,31.08711,32.55273,25.99512,44.04569,22.11806,8.047465,8.618067,11.1544,28.22585,15.39776,14.32449,18.6465,31.65466
375,18.86186,22.79707,26.98633,22.20613,21.94679,20.9482,12.19706,21.83921,45.23037,24.00266,62.52032,32.33972,34.14583,27.58069,49.47254,22.67244,9.691943,7.699317,11.90253,25.11444,16.7076,13.72097,22.08468,29.46137
390,22.26668,26.54377,31.58224,25.55367,25.03733,25.56917,13.38063,24.44722,46.59612,23.77353,62.60364,31.02963,33.42957,25.09428,43.57923,19.53769,9.955016,7.698453,14.54189,29.37211,19.24757,15.91166,26.69318,31.09946
405,18.03048,23.33091,28.07411,21.9692,22.89482,22.07081,12.82718,21.74041,51.62592,30.00934,69.96345,33.8666,35.19288,26.28497,47.20545,22.43497,10.05702,6.339869,12.00619,33.79791,17.09679,18.3561,24.86574,31.19357
420,19.14134,23.24507,27.96176,22.03592,22.53071,23.87997,12.83714,21.41929,51.97448,29.64867,68.07093,34.49775,35.97082,27.01945,48.51601,22.52037,12.52131,6.304904,14.28742,33.96928,16.93393,17.78699,26.80946,27.25598
435,22.48388,25.37124,32.3732,25.45088,25.78146,26.76652,14.92893,24.99892,45.83333,25.3268,58.91813,29.4397,32.84238,19.5977,39.1686,19.33107,12.83958,8.329458,14.67717,31.00409,20.66939,20.37909,30.78342,32.28924
450,20.51027,23.77206,31.77156,24.74645,23.5066,25.77005,11.92846,24.37292,47.03348,26.01094,55.58502,28.6127,29.88311,23.08065,38.76699,19.29397,14.33862,8.780957,15.09399,32.73634,20.7215,23.77433,29.66568,38.5251
465,19.28666,23.72177,30.21815,23.48673,22.95812,24.30657,10.81169,25.3811,45.30278,24.13913,56.29111,30.7703,27.40468,22.74175,37.07265,20.83641,14.23694,8.743044,16.30065,31.56289,20.82804,23.49908,32.33028,32.79385
480,27.08584,31.10874,38.38028,29.48839,29.27246,29.67946,12.60755,29.90854,43.82925,20.61123,44.67284,30.83817,27.05454,21.75737,34.64424,19.58491,17.80345,9.012719,17.49844,36.72866,22.8893,25.74242,31.83238,37.00608
