,TRACK_ID,Duration
1,8.0,93.0
2,11.0,93.0
3,13.0,93.0
7,124.0,34.0
0,2.0,21.0
8,225.0,15.0
6,117.0,12.0
5,83.0,11.0
4,34.0,5.0
