Condition,VH Zeta + 221 WT 1,VH Zeta + 221 WT 2,VH Zeta + 221 WT 3,VL Zeta + 221 WT 1,VL Zeta + 221 WT 2,VL Zeta + 221 WT 3,VH Zeta + 221 CD58KO 1,VH Zeta + 221 CD58KO 2,VH Zeta + 221 CD58KO 3,VL Zeta + 221 CD58KO 1,VL Zeta + 221 CD58KO 2,VL Zeta + 221 CD58KO 3,,,,,,,
Seconds,,,,,,,,,,,,,,,,,,,
20.615,0.750348,1.026668419,1.029484,1.020551,0.999824,1.023317333,1.003377,1.046467,1.038608,1.021375,1.039656,1.008921,,,,,,,
21.115,0.759431,1.02768651,1.030383667,1.021748,0.999816,1.026446333,1.004478,1.047652,1.039021,1.025154,1.042625,1.01156,,,,,,,
21.615,0.749378,1.029376662,1.033046,1.023651,0.999791,1.028615,1.008191,1.050763,1.040184,1.030498,1.044542,1.010805,,,,,,,
22.115,0.751318,1.029688534,1.034642,1.02417,0.999781,1.030332,1.012542,1.049812,1.041572,1.035224,1.044608,1.011164,,,,,,,
22.615,0.759431,1.031596717,1.035869667,1.025436,0.999684,1.032232,1.014825,1.050764,1.04202,1.038097,1.047794,1.010805,,,,,,,
23.115,0.759431,1.032671565,1.037442333,1.025863,0.999699,1.033490667,1.01898,1.050968,1.042379,1.039997,1.049311,1.011164,,,,,,,
23.615,0.776985,1.031596717,1.038563667,1.02594,0.999532,1.034769,1.021134,1.051267,1.04329,1.041464,1.050844,1.011999,,,,,,,
24.115,0.776985,1.030154914,1.039680333,1.027224,0.999537,1.035972667,1.024808,1.050763,1.04347,1.0427,1.053203,1.012015,,,,,,,
24.615,0.775612,1.030115102,1.042309333,1.027675,0.999694,1.037774667,1.030238,1.052039,1.044651,1.046453,1.054175,1.012696,,,,,,,
25.115,0.776256,1.030442314,1.044020333,1.029236,0.999815,1.041086667,1.035483,1.052091,1.044487,1.052117,1.056305,1.014838,,,,,,,
25.615,0.775612,1.029688534,1.046948,1.030374,0.999657,1.044291333,1.038506,1.056979,1.045359,1.05649,1.060028,1.016356,,,,,,,
26.115,0.767544,1.030115102,1.048464333,1.031227,0.999657,1.044936667,1.040059,1.058279,1.047055,1.059145,1.060727,1.014938,,,,,,,
26.615,0.76739,1.030076627,1.049788333,1.032755,0.999639,1.047095667,1.041432,1.059621,1.048312,1.061945,1.062286,1.017056,,,,,,,
27.115,0.783842,1.030745185,1.051296667,1.034038,0.999652,1.048577,1.04422,1.060467,1.049203,1.064332,1.064987,1.016412,,,,,,,
27.615,0.788471,1.030745185,1.053983333,1.034602,0.999907,1.050966,1.047011,1.064041,1.050898,1.06828,1.067722,1.016896,,,,,,,
28.115,0.80332,1.031581559,1.055548333,1.034038,0.99968,1.052052333,1.051712,1.063836,1.051097,1.068667,1.068126,1.019364,,,,,,,
28.615,0.805001,1.031594584,1.057485333,1.036478,0.999825,1.053632667,1.054916,1.064454,1.053086,1.072581,1.069175,1.019142,,,,,,,
29.115,0.822393,1.030745185,1.05948,1.037245,0.999778,1.05568,1.057249,1.066747,1.054444,1.077492,1.070503,1.019045,,,,,,,
29.615,0.924936,1.030442314,1.061435667,1.037592,0.999852,1.057661667,1.060918,1.06842,1.054969,1.08117,1.07186,1.019955,,,,,,,
31,0.939637,1.028848703,1.176881333,1.025962,1.017648,1.164471333,1.284909,1.131865,1.11387,1.251637,1.071906,1.169871,,,,,,,
31.5,0.815017,1.032327543,1.000348,0.974377,1.038435,1.003726,1.268331,1.124185,1.11387,1.297664,1.225985,1.119234,,,,,,,
32,1.099966,1.055062726,1.009863,0.927979,1.037769,1.008543,1.240631,1.086383,1.181482,1.449659,1.226493,1.09618,,,,,,,
32.5,1.071085,1.093311355,1.010498,0.896004,1.020034,1.011863,1.236169,1.060982,1.225434,1.515878,1.21609,1.067595,,,,,,,
33,1.179341,1.127167357,1.011534,0.888388,1.010496,1.012449,1.286673,1.051945,1.265684,1.495084,1.16429,1.065581,,,,,,,
33.5,1.178552,1.148105001,1.016189,0.884525,1.010612,1.0112,1.34452,1.008775,1.284465,1.518586,1.140335,1.075668,,,,,,,
34,1.200297,1.130071764,1.017101,0.878596,1.008916,1.006877,1.390617,0.999002,1.30402,1.542944,1.169042,1.088275,,,,,,,
34.5,1.227301,1.128337649,1.017443,0.876928,1.008794,1.006172,1.42765,0.986816,1.302794,1.526784,1.165394,1.070031,,,,,,,
35,1.204308,1.158191806,1.019498,0.871657,1.011879,1.008567,1.441555,0.977429,1.298441,1.516973,1.173051,1.079959,,,,,,,
35.5,1.218952,1.17078456,1.020252,0.864521,1.010275,1.009466,1.458731,0.971203,1.304753,1.542944,1.174373,1.096328,,,,,,,
36,1.228537,1.170901011,1.028012,0.865078,1.017081,1.009015,1.459065,0.971266,1.306721,1.542792,1.168721,1.096351,,,,,,,
36.5,1.238301,1.174305886,1.036443,0.866174,1.015624,1.015246,1.458731,0.972632,1.307959,1.542792,1.168727,1.101165,,,,,,,
37,1.218009,1.177644771,1.039709,0.867435,1.013211,1.020101,1.459065,0.973207,1.308426,1.537448,1.168727,1.101165,,,,,,,
37.5,1.241526,1.182746555,1.042014,0.869063,1.014364,1.025464,1.459065,0.973854,1.310516,1.540044,1.168715,1.10247,,,,,,,
38,1.244853,1.186779345,1.046596,0.869063,1.019187,1.021887,1.471035,0.974501,1.311183,1.540044,1.16758,1.10247,,,,,,,
38.5,1.244843,1.193087245,1.050446,0.868376,1.021264,1.029292,1.471035,0.974501,1.31335,1.536372,1.16592,1.10247,,,,,,,
39,1.236987,1.208775378,1.052338,0.869205,1.022324,1.033034,1.458731,0.975572,1.314878,1.537448,1.16592,1.10247,,,,,,,
39.5,1.230057,1.215919863,1.054709,0.870302,1.02552,1.026456,1.458731,0.975756,1.316148,1.536372,1.165394,1.101165,,,,,,,
40,1.229739,1.216800578,1.055632,0.872005,1.029107,1.026963,1.458731,0.976589,1.317783,1.536372,1.165394,1.10247,,,,,,,
40.5,1.229374,1.223320055,1.059243,0.874421,1.024777,1.028994,1.458731,0.977429,1.32211,1.536372,1.168715,1.101165,,,,,,,
41,1.230128,1.235553416,1.065676,0.874796,1.033421,1.031906,1.459065,0.977429,1.323556,1.537448,1.166445,1.103775,,,,,,,
41.5,1.22011,1.241188201,1.068986,0.875823,1.040501,1.037526,1.459065,0.97774,1.323556,1.537448,1.16758,1.103775,,,,,,,
42,1.218219,1.244911713,1.06953,0.876023,1.043317,1.035104,1.46505,0.97774,1.327507,1.535296,1.168715,1.101165,,,,,,,
42.5,1.219042,1.257311447,1.070457,0.876023,1.04425,1.033874,1.471035,0.978031,1.330252,1.536372,1.168721,1.10247,,,,,,,
43,1.228079,1.268075261,1.072828,0.876049,1.053132,1.034337,1.471829,0.978031,1.331801,1.536372,1.16758,1.10247,,,,,,,
43.5,1.226004,1.279324627,1.075182,0.87747,1.068281,1.035734,1.471829,0.980011,1.332829,1.537448,1.166445,1.10247,,,,,,,
44,1.223746,1.280534949,1.079548,0.877747,1.08168,1.035625,1.472623,0.980773,1.333349,1.540044,1.16758,1.10247,,,,,,,
44.5,1.235171,1.285310113,1.079404,0.878682,1.085406,1.037345,1.472623,0.981127,1.33486,1.537448,1.168727,1.10247,,,,,,,
45,1.236987,1.285310113,1.085625,0.878768,1.087008,1.03985,1.473191,0.981651,1.341928,1.537448,1.16937,1.10247,,,,,,,
45.5,1.236356,1.289603351,1.087977,0.880172,1.089168,1.04156,1.473759,0.982193,1.346826,1.537448,1.16937,1.10247,,,,,,,
46,1.23437,1.294086783,1.092149,0.882007,1.093195,1.04225,1.473759,0.982472,1.350986,1.537448,1.169998,1.10247,,,,,,,
46.5,1.246673,1.298852121,1.095027,0.884307,1.09924,1.044171,1.473759,0.983174,1.352501,1.540044,1.169384,1.10247,,,,,,,
47,1.254541,1.305559722,1.097775,0.886054,1.102747,1.046646,1.473759,0.98329,1.355768,1.537448,1.169048,1.103775,,,,,,,
47.5,1.25694,1.330186017,1.103165,0.888716,1.10596,1.048905,1.473759,0.983174,1.356161,1.539542,1.169048,1.10247,,,,,,,
48,1.260959,1.335616938,1.107088,0.889576,1.10838,1.050123,1.475442,0.984418,1.358651,1.538495,1.169384,1.103775,,,,,,,
48.5,1.273117,1.348317154,1.107005,0.890482,1.108566,1.049986,1.477124,0.984418,1.360533,1.538495,1.169998,1.103775,,,,,,,
