Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
16,4.292,92.869,48.409,56.82,59.223,47.894,5.15,27.809,48.58,37.251,38.795,46.52,55.103,80.338,57.335,24.033,28.496,46.005,48.752,29.869,61.455,41.027,72.441,80.338,31.242,43.259,91.152,46.692,69.351,95.959,1.202,0,65.746,44.289,35.019,50.468,84.457,43.774,36.221,22.659,52.872,46.177,91.839,63.515,49.095,41.542,63.171,44.289,65.06,5.15,86.861,43.087
17,6.351,89.092,46.864,57.678,61.97,44.975,7.725,30.899,45.834,36.907,38.28,53.043,51.498,73.299,51.67,24.033,30.899,46.864,50.125,30.556,64.716,51.67,60.94,73.986,28.667,39.997,89.092,45.49,69.008,94.929,0.515,0,65.403,46.692,34.161,48.237,83.599,46.349,35.362,23.861,46.177,41.37,87.719,66.433,52.013,44.46,60.425,39.825,60.94,11.33,93.04,40.34
18,4.635,86.689,51.842,52.357,61.283,42.915,7.21,34.161,42.744,40.855,40.169,51.498,47.894,74.844,52.528,21.458,32.444,48.237,46.52,23.689,49.438,53.902,65.231,92.354,32.616,46.864,91.667,44.46,67.635,93.212,1.03,0,67.291,39.654,34.332,53.043,81.539,42.229,33.989,25.921,49.782,42.744,78.964,63.858,48.237,41.027,60.425,39.997,58.708,16.823,87.032,44.975
19,6.695,92.182,48.923,56.648,67.806,41.027,13.218,31.242,42.4,43.602,45.147,51.155,50.983,79.136,51.327,22.488,31.586,47.035,51.155,33.817,58.537,63.171,61.283,76.389,27.981,42.744,90.466,45.662,65.06,95.959,0,0,61.455,41.199,34.504,47.035,83.771,41.714,35.706,24.891,45.49,40.855,77.248,67.12,50.812,41.714,54.245,39.654,60.253,23.861,85.831,41.027
20,5.15,88.234,47.894,53.215,58.88,42.229,10.471,28.667,42.915,45.662,51.155,51.327,49.438,75.359,41.199,20.428,28.152,47.035,50.64,32.616,58.537,68.15,58.88,76.389,27.637,43.43,94.414,46.177,65.746,89.951,0.172,0,63.343,38.795,35.534,41.199,79.136,44.46,36.392,24.376,47.722,41.542,77.419,60.768,49.095,46.692,53.902,35.362,59.567,30.899,83.771,47.894
21,8.755,87.547,47.207,50.468,58.193,41.199,11.673,28.839,42.572,37.766,46.177,49.782,49.095,68.836,39.825,20.256,30.041,46.349,48.409,35.191,56.133,70.21,55.447,78.621,29.354,44.117,95.1,44.632,64.545,89.092,0.515,0.172,61.798,37.594,36.221,41.027,75.016,41.542,34.161,20.256,51.327,37.937,78.106,61.626,50.125,50.812,49.438,32.444,55.618,33.817,74.844,41.714
22,7.725,86.346,46.52,50.64,59.567,44.117,13.218,26.436,42.744,37.251,47.894,45.834,47.722,68.493,40.169,20.943,26.951,46.177,43.945,27.294,48.752,60.081,52.528,84.972,36.221,48.237,95.959,47.894,59.567,91.152,0.515,4.978,63.686,36.221,35.706,43.602,77.763,41.714,32.101,19.054,49.782,38.109,76.046,65.403,51.327,51.498,49.61,32.101,53.043,34.161,66.605,41.199
23,7.896,82.569,46.52,47.035,56.82,44.975,14.935,30.384,44.632,36.392,46.005,45.49,46.52,65.403,41.027,20.771,26.436,46.692,49.61,27.294,51.327,72.098,50.297,85.659,31.071,47.035,94.414,46.52,63.171,93.555,1.717,10.815,66.605,35.019,34.504,43.774,73.643,41.714,32.444,20.771,46.52,42.744,77.591,64.373,49.782,54.073,54.245,32.616,55.103,32.444,68.321,40.512
24,7.038,82.226,48.923,47.379,57.678,41.885,20.771,32.101,42.057,34.332,47.379,45.147,47.55,61.455,41.714,20.084,26.264,50.125,47.379,35.877,53.043,70.896,49.953,79.308,26.264,50.64,96.817,47.894,58.708,89.436,1.202,26.436,64.545,40.169,31.757,48.409,73.299,42.572,29.526,20.771,48.237,41.885,76.733,65.575,50.297,52.528,57.163,30.727,55.103,31.414,62.828,38.967
25,7.038,79.651,47.207,49.953,59.738,45.147,18.024,27.466,43.259,34.676,49.095,44.289,45.319,65.231,47.207,20.771,26.951,47.379,45.662,35.019,49.267,70.381,44.804,81.196,29.697,52.872,98.877,47.55,57.507,93.384,2.575,39.825,63.686,43.087,29.354,48.065,76.561,44.117,32.444,21.458,47.722,41.37,75.016,68.15,51.327,54.76,59.223,30.727,54.76,28.152,63.858,36.907
26,7.381,84.972,42.915,51.498,58.88,41.37,17.509,29.697,46.864,34.332,50.64,43.259,45.147,62.656,48.58,20.599,25.406,49.953,36.392,17.681,35.191,58.708,48.923,88.234,34.504,48.752,99.049,44.289,59.91,90.637,5.322,55.275,62.828,43.774,26.608,47.894,72.784,39.654,32.787,21.286,48.065,44.804,76.046,69.866,50.468,53.902,59.567,28.839,52.357,24.891,64.545,35.191
27,7.21,83.942,43.602,47.035,55.447,40.684,18.711,29.526,45.147,33.302,49.438,42.057,45.834,61.798,44.804,20.428,25.063,50.64,43.945,37.594,49.095,69.866,45.49,75.188,24.891,51.842,102.997,43.945,65.575,86.346,6.008,60.768,64.373,40.684,25.749,50.983,72.098,39.139,32.444,21.114,46.692,42.229,76.046,64.888,48.065,54.932,53.73,29.354,52.7,24.719,64.716,36.736
28,8.926,84.972,43.43,48.752,54.245,38.795,17.338,27.809,42.744,33.131,50.812,42.744,44.804,59.567,43.774,20.428,22.659,47.894,44.975,35.877,48.237,71.926,48.237,69.695,24.548,55.618,100.25,43.774,60.081,85.144,12.531,64.545,62.828,39.482,24.548,55.962,69.18,40.512,31.071,20.771,50.983,46.52,73.814,65.06,50.64,53.215,50.812,29.526,55.962,22.831,67.463,36.564
29,7.381,83.942,43.259,51.498,57.163,39.31,18.883,28.839,43.43,31.757,50.468,40.855,45.662,65.575,42.572,19.741,25.749,49.095,41.37,38.624,47.207,64.03,43.945,75.016,24.719,58.88,99.049,44.975,57.678,85.487,17.509,74.158,62.141,39.139,24.033,52.7,65.231,38.795,31.414,20.599,49.782,39.482,75.531,64.716,46.692,56.305,47.894,29.869,56.82,22.144,67.291,35.534
30,7.038,82.054,41.37,54.073,54.76,40.169,17.509,28.839,41.885,36.564,48.237,41.885,47.722,64.201,37.766,20.428,28.324,47.207,42.229,34.676,49.267,67.463,46.177,72.269,23.174,56.992,96.989,41.885,54.932,86.002,27.294,72.784,61.283,39.31,24.204,49.953,67.806,37.766,32.444,20.256,47.894,42.229,72.956,64.888,47.207,45.319,42.4,28.152,50.468,21.801,70.381,36.736
