,TRACK_ID,Duration
2,18.0,94.0
6,64.0,93.0
7,77.0,93.0
9,108.0,91.0
10,168.0,75.0
0,4.0,37.0
1,9.0,33.0
11,187.0,29.0
4,39.0,18.0
5,47.0,10.0
12,347.0,9.0
8,102.0,8.0
13,356.0,5.0
3,34.0,3.0
15,573.0,3.0
14,380.0,1.0
