Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
19,36.221,0,0,16.308,59.91,125.141,38.795,17.166,42.572,75.874,43.087,7.896,0,62.485,42.744,31.757,20.943,79.823,35.877,48.752,60.253,58.537,63.858,13.39,53.043,52.185,64.545,52.7,54.932,86.517,41.885,99.735,95.959,33.302,0,16.651,30.384,65.231,55.79,49.095,42.057,18.368
20,42.4,0,0,24.033,34.161,109.005,56.305,2.06,45.834,64.201,63.343,7.725,7.896,133.209,39.825,39.654,16.308,90.294,25.406,53.902,47.722,62.828,52.185,17.509,52.013,52.185,74.329,39.31,44.46,63.686,49.782,88.062,81.882,32.272,0,17.509,35.877,67.12,67.463,51.327,38.795,12.703
21,40.684,0,0,30.899,41.37,91.152,43.259,2.918,46.177,65.575,73.128,7.21,10.3,133.381,30.727,18.883,19.226,79.651,17.509,59.052,49.095,47.55,58.365,15.278,37.251,52.185,58.88,39.139,33.302,76.904,37.251,86.689,89.951,32.959,0,14.591,33.302,55.962,65.403,47.722,38.795,8.755
22,43.602,0,0,29.011,30.899,129.089,40.169,3.777,29.182,58.022,45.662,7.381,10.471,72.956,32.616,20.943,20.943,69.523,12.703,36.221,53.902,22.316,61.455,13.733,36.564,52.185,69.18,27.981,19.569,73.986,29.697,77.076,87.032,31.586,0,15.793,8.926,40.34,64.03,42.744,36.736,7.21
23,36.049,0,0,24.719,27.809,89.607,46.864,2.06,22.831,56.477,47.55,6.866,25.921,90.122,27.123,24.204,20.599,65.403,8.583,55.447,57.678,6.351,47.55,27.809,25.749,52.185,49.438,20.428,16.994,73.814,33.131,70.553,77.934,40.34,2.575,26.093,8.068,40.169,47.379,44.117,36.221,16.823
24,30.212,0,0,28.496,20.943,117.245,51.498,1.717,20.943,53.043,69.695,10.471,32.272,119.305,22.316,28.667,27.981,59.91,6.351,73.814,56.648,6.695,54.588,46.52,15.278,52.185,60.253,23.174,14.591,58.88,30.212,77.934,86.517,44.289,0.172,13.905,7.725,53.043,57.163,43.774,38.624,26.608
25,34.847,0,0.687,29.869,14.763,91.324,51.67,1.717,19.913,51.842,64.716,16.479,44.804,96.645,36.392,29.354,27.123,61.626,8.755,42.057,59.052,13.218,52.872,46.005,12.188,52.185,36.049,20.428,16.308,55.962,20.943,71.583,82.226,33.474,0.858,21.458,6.351,47.207,54.76,46.349,33.131,27.466
26,35.362,0,0,25.749,13.733,75.016,53.73,1.545,23.346,42.057,42.744,13.046,43.774,54.245,32.787,15.793,26.608,52.872,6.695,49.438,53.73,22.144,46.349,37.594,5.322,52.185,43.43,19.913,11.158,56.82,38.967,53.215,88.062,29.869,1.202,14.935,6.866,49.61,52.185,40.855,43.602,28.667
27,27.466,0,0,18.024,15.621,78.964,55.79,1.202,25.578,40.684,61.455,8.068,35.191,117.073,31.242,9.441,23.861,41.37,5.493,42.057,56.133,17.338,59.738,42.572,25.921,52.185,42.572,48.923,24.376,54.932,34.676,57.335,71.068,29.354,0,13.39,6.695,67.12,49.61,43.602,36.564,26.951
28,20.771,0,0,6.695,14.42,67.635,48.923,1.202,24.719,43.259,55.962,6.866,17.681,84.286,32.272,6.18,21.458,49.438,5.493,56.133,55.275,7.725,61.283,43.259,12.016,52.185,33.817,32.444,33.646,38.967,21.629,72.269,61.626,36.221,19.054,30.384,6.008,61.283,66.261,42.4,38.109,23.689
29,25.406,0,0,3.433,12.875,90.122,29.869,0.687,26.264,43.43,39.654,7.21,23.861,92.182,40.34,6.695,20.943,50.64,6.351,59.567,51.498,22.144,53.558,49.61,13.733,52.185,38.109,42.915,32.787,19.398,23.689,53.902,70.896,24.719,43.43,39.825,6.008,54.588,38.109,41.714,35.362,18.024
30,20.428,0,0,4.292,12.36,82.226,24.891,1.03,21.973,46.005,33.131,8.24,8.411,64.373,35.019,6.351,21.114,50.468,5.493,39.825,55.962,50.812,47.207,39.482,8.926,52.185,29.011,46.52,26.436,25.063,16.994,47.035,80.853,24.548,52.528,21.286,6.351,64.545,50.64,34.504,38.795,12.875
