Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
16,0,113.468,48.58,0,121.88,28.152,119.82,57.507,56.133,63.171,116.558,69.351,120.506,41.199,81.882,82.054,136.642,0,67.978,92.869,116.386,104.198,27.809,98.534,82.054,95.444,59.738,83.084,8.068,0,94.757,47.207,57.678,0,67.463,113.297,117.588,6.351,94.757,24.376,64.545,116.386,97.504,0,40.169,0,96.302,109.863,60.768,78.106,27.294,66.261
17,0,127.373,43.43,0,102.825,12.531,125.828,80.853,55.618,77.419,114.841,62.828,109.52,35.877,73.986,83.084,129.433,8.926,55.447,92.697,110.207,97.675,22.831,113.983,82.397,88.234,45.147,65.231,2.918,0,97.675,35.534,68.493,0,56.992,119.82,86.174,0,85.659,22.831,56.992,131.321,89.779,22.144,61.111,0,91.839,107.117,71.239,88.921,25.063,64.03
18,0,90.981,41.199,7.21,101.795,1.373,122.91,71.754,41.542,79.479,100.422,54.073,98.534,3.948,46.52,71.068,108.147,0,24.891,99.564,95.787,108.49,24.376,100.594,87.891,71.068,69.008,55.618,2.575,0,98.362,23.003,62.656,0,41.027,111.923,94.585,2.232,95.787,34.676,40.684,124.455,88.921,48.237,53.387,0,70.724,64.545,63.343,79.136,27.123,69.008
19,0,102.997,60.768,16.651,120.85,11.501,111.58,57.163,59.395,67.635,96.645,63.858,91.839,0,43.774,71.926,95.787,29.697,34.847,84.457,122.566,106.945,25.234,106.258,84.114,76.733,58.365,45.834,5.322,0,87.032,2.747,62.828,0,35.362,122.395,110.722,3.09,81.368,60.425,29.526,75.359,89.436,57.163,52.357,0,47.55,110.55,50.297,63.686,28.496,71.583
20,0,97.504,50.983,3.262,113.812,29.354,109.692,53.73,47.207,72.098,111.065,52.357,101.624,0,31.586,60.94,108.318,29.526,44.804,83.771,88.062,95.1,30.727,98.877,93.899,73.814,42.4,62.485,4.12,0,92.182,0,59.052,0.687,29.697,115.013,95.1,0,67.12,71.926,35.362,82.397,88.577,52.528,47.55,0,54.245,121.536,45.834,70.038,21.458,61.97
21,0,107.632,12.531,32.444,113.297,7.21,106.087,60.596,49.095,70.381,71.583,38.452,93.384,0,40.512,60.081,127.716,35.191,66.09,115.871,100.594,97.847,31.242,86.174,80.681,76.046,31.757,70.038,5.322,0,77.248,0,60.94,27.466,18.196,123.94,83.427,0,87.376,49.953,48.409,110.55,90.122,39.825,29.354,0,77.076,107.803,58.022,80.338,29.354,59.91
22,0.172,73.128,21.114,45.662,113.812,37.766,105.228,65.403,60.596,77.934,89.092,46.692,94.242,0.172,0,67.978,134.754,12.188,41.885,101.109,111.408,92.869,33.302,101.28,92.697,58.193,34.676,71.754,3.605,0,89.951,0,38.28,27.981,22.488,123.253,83.771,0,76.561,41.542,64.888,86.174,85.144,29.869,3.09,0,74.158,92.869,59.223,62.485,26.264,68.665
23,0,44.975,37.079,43.945,96.989,39.654,85.659,67.978,53.043,82.912,81.024,37.937,128.574,0,0,66.605,116.558,30.212,32.272,83.599,81.368,82.397,23.174,94.585,89.951,80.338,25.234,55.962,6.008,0,93.555,6.351,28.324,11.845,35.362,100.25,105.915,0,89.092,33.131,47.722,75.016,79.136,33.817,7.896,0,81.882,121.365,58.022,55.275,19.398,41.199
24,0,75.703,42.229,40.684,110.893,33.817,91.839,65.918,46.52,73.128,87.032,41.37,107.632,0,0,55.618,112.095,27.637,38.624,61.455,64.03,67.806,25.921,92.525,71.068,66.605,64.03,47.035,7.553,2.747,92.525,30.041,14.935,22.488,30.899,118.103,90.809,0,77.763,29.182,40.512,72.784,82.054,1.717,25.749,0,101.795,116.901,63.686,87.204,21.458,37.422
25,0,64.888,27.637,33.474,104.713,19.226,85.831,58.708,58.365,82.569,73.471,46.177,100.937,0,0,66.09,131.321,23.174,42.4,86.861,72.956,73.986,27.466,90.809,77.763,65.06,43.602,61.97,84.629,3.262,83.427,31.929,23.861,0,22.488,98.877,113.297,0,93.212,35.191,11.845,85.144,96.817,0,17.509,0,80.509,81.196,61.626,45.147,10.643,47.035
26,0,74.158,16.651,29.526,94.585,10.471,78.621,61.97,47.379,83.084,66.261,42.4,94.757,0,0.172,65.06,102.31,0,29.526,65.231,90.637,79.994,16.308,96.474,74.844,66.776,63.343,52.7,145.569,2.232,63.343,32.101,0,16.136,19.913,95.787,156.727,0,88.577,48.237,5.836,73.986,89.779,0.343,14.935,0,69.866,103.34,71.754,32.787,22.316,43.259
27,0,68.15,26.608,23.174,110.035,0,105.057,81.368,45.662,83.256,33.474,41.542,90.981,0,22.316,53.215,135.613,32.101,53.043,55.447,64.545,89.607,0,57.335,74.329,66.776,61.111,40.855,142.136,12.531,91.496,12.36,0.172,10.3,16.308,90.294,127.373,0,86.346,34.504,36.907,69.008,88.234,0,36.392,0,65.575,91.839,71.411,65.231,28.152,30.041
28,0,76.904,39.31,29.869,75.188,4.463,62.656,42.572,46.349,55.618,38.452,38.624,74.673,0,44.975,54.588,81.882,65.403,31.071,56.992,70.381,93.555,0,94.585,65.918,59.567,56.305,48.065,171.661,21.629,83.942,0,0,13.39,4.12,101.795,140.591,0,75.016,31.414,19.054,66.776,71.754,0.172,41.199,0,68.15,88.749,71.068,70.038,19.226,15.278
29,0,94.414,43.43,24.204,65.231,0,64.03,50.983,48.58,50.125,31.586,41.714,77.763,0,56.133,57.163,78.793,54.245,26.779,56.82,75.359,83.942,0,75.359,68.493,53.558,55.618,41.199,194.836,0.343,65.231,1.888,0,30.384,5.665,75.016,122.738,0.172,69.18,37.079,18.539,56.305,74.673,0.343,42.4,0,64.716,75.531,51.498,58.88,15.106,24.891
30,0,83.084,45.49,28.324,49.953,0,62.141,56.992,26.093,21.629,28.839,38.109,72.098,0.172,52.528,37.766,44.46,48.923,30.899,42.572,57.163,83.599,0,75.188,60.425,50.812,64.373,44.975,142.822,8.411,65.403,4.978,0,42.057,14.42,97.504,59.91,0,62.313,47.379,40.684,56.305,84.972,0,46.52,0.172,50.812,61.455,39.31,68.321,12.188,35.019
