 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2450.295,255,24.238,25.274,24.238,25.274,0.135,1.043,0.959,1.000
2,2450.295,255,24.238,25.274,24.238,25.274,0.135,1.043,0.959,1.000
3,28.496,0,28.209,25.001,28.209,25.001,0.428,1.467,0.682,0.796
4,58.365,0,27.345,25.453,27.345,25.453,0.201,1.445,0.692,0.583
5,55.618,0,26.254,25.381,26.254,25.381,0.184,1.090,0.917,0.601
6,61.970,0,27.415,25.954,27.415,25.954,0.206,1.481,0.675,0.649
7,74.501,0,26.010,26.672,26.010,26.672,0.201,1.789,0.559,0.300
8,64.545,0,23.908,25.542,23.908,25.542,0.175,1.443,0.693,0.616
9,56.133,0,26.202,25.421,26.202,25.421,0.195,1.136,0.880,0.565
10,65.575,0,26.474,27.730,26.474,27.730,0.195,1.861,0.537,0.585
11,74.158,0,24.521,27.965,24.521,27.965,0.158,2.102,0.476,0.514
12,72.956,0,24.467,29.590,24.467,29.590,0.187,1.793,0.558,0.520
13,65.403,0,26.287,27.317,26.287,27.317,0.119,1.508,0.663,0.451
14,71.068,0,25.760,25.094,25.760,25.094,0.166,1.701,0.588,0.534
15,85.316,0,21.829,27.497,21.829,27.497,0.280,1.743,0.574,0.683
16,75.874,0,22.092,29.617,22.092,29.617,0.181,1.350,0.741,0.558
17,47.894,0,24.311,26.537,24.311,26.537,0.163,1.145,0.873,0.460
18,84.457,0,20.877,25.290,20.877,25.290,0.182,1.520,0.658,0.547
19,71.926,0,22.440,29.980,22.440,29.980,0.151,1.466,0.682,0.519
20,65.231,0,24.308,28.370,24.308,28.370,0.171,1.583,0.632,0.568
21,67.120,0,23.826,26.976,23.826,26.976,0.222,1.441,0.694,0.608
22,55.962,0,22.719,28.133,22.719,28.133,0.300,1.064,0.940,0.681
23,40.340,0,24.197,28.675,24.197,28.675,0.227,1.153,0.867,0.708
24,40.169,0,24.923,28.733,24.923,28.733,0.411,1.525,0.656,0.814
25,53.043,0,23.520,28.782,23.520,28.782,0.448,2.114,0.473,0.647
26,47.207,0,23.542,27.667,23.542,27.667,0.442,1.229,0.814,0.687
27,49.610,0,24.643,29.979,24.643,29.979,0.469,2.120,0.472,0.707
28,67.120,0,22.624,30.761,22.624,30.761,0.233,1.504,0.665,0.560
29,61.283,0,21.844,27.094,21.844,27.094,0.462,1.709,0.585,0.718
30,54.588,0,24.507,28.024,24.507,28.024,0.374,2.004,0.499,0.650
31,64.545,0,20.935,29.443,20.935,29.443,0.306,1.256,0.796,0.581
