 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,207.882,0,21.360,22.106,21.360,22.106,0.171,1.172,0.853,0.699
2,156.384,0,22.927,23.333,22.927,23.333,0.097,1.249,0.800,0.468
3,183.334,0,24.738,23.678,24.738,23.678,0.177,1.796,0.557,0.630
4,133.553,0,22.052,25.882,22.052,25.882,0.067,1.341,0.746,0.205
5,189.343,0,22.946,26.410,22.946,26.410,0.226,1.775,0.563,0.709
6,141.964,0,26.278,26.604,26.278,26.604,0.125,1.339,0.747,0.495
7,67.806,0,28.846,25.458,28.846,25.458,0.090,1.573,0.636,0.277
8,108.490,0,25.149,19.005,25.149,19.005,0.158,1.201,0.832,0.491
9,90.466,0,23.517,19.466,23.517,19.466,0.120,1.689,0.592,0.440
10,185.223,0,22.906,23.990,22.906,23.990,0.107,1.370,0.730,0.542
11,117.760,0,28.057,24.146,28.057,24.146,0.116,1.342,0.745,0.453
12,98.190,0,27.660,20.263,27.660,20.263,0.076,1.873,0.534,0.336
13,144.024,0,26.217,22.014,26.217,22.014,0.153,2.183,0.458,0.564
14,149.345,0,24.029,26.523,24.029,26.523,0.147,1.220,0.820,0.575
15,96.302,0,25.636,28.844,25.636,28.844,0.111,1.457,0.686,0.389
16,80.681,0,30.438,25.799,30.438,25.799,0.114,1.168,0.856,0.398
17,103.855,0,27.634,22.169,27.634,22.169,0.115,1.192,0.839,0.445
18,115.356,0,24.679,25.157,24.679,25.157,0.135,1.374,0.728,0.508
19,84.629,0,29.377,28.562,29.377,28.562,0.160,1.358,0.736,0.444
20,62.485,0,30.859,24.554,30.859,24.554,0.089,1.172,0.853,0.356
21,133.209,0,26.692,24.554,26.692,24.554,0.166,1.500,0.667,0.525
22,133.381,0,26.286,26.788,26.286,26.788,0.142,1.416,0.706,0.479
23,72.956,0,30.501,26.022,30.501,26.022,0.129,1.274,0.785,0.433
24,90.122,0,29.179,23.748,29.179,23.748,0.102,1.504,0.665,0.404
25,119.305,0,25.639,24.382,25.639,24.382,0.315,1.214,0.823,0.685
26,96.645,0,26.015,27.323,26.015,27.323,0.298,1.541,0.649,0.602
27,54.245,0,27.210,26.974,27.210,26.974,0.219,1.390,0.719,0.635
28,117.073,0,26.143,23.704,26.143,23.704,0.289,1.705,0.587,0.622
29,84.286,0,24.574,27.263,24.574,27.263,0.141,1.889,0.529,0.505
30,92.182,0,28.815,28.478,28.815,28.478,0.241,1.661,0.602,0.630
31,64.373,0,29.228,26.169,29.228,26.169,0.172,2.786,0.359,0.460
