 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2224.732,255,24.859,22.373,24.859,22.373,0.134,1.111,0.900,1.000
2,2224.732,255,24.859,22.373,24.859,22.373,0.134,1.111,0.900,1.000
3,2224.732,255,24.859,22.373,24.859,22.373,0.134,1.111,0.900,1.000
4,11.845,0,28.597,30.206,28.597,30.206,0.485,2.565,0.390,0.704
5,87.376,0,29.127,31.236,29.127,31.236,0.383,1.021,0.980,0.717
6,92.525,0,30.239,31.353,30.239,31.353,0.426,1.459,0.685,0.706
7,58.708,0,30.255,32.243,30.255,32.243,0.266,1.188,0.841,0.623
8,30.899,0,29.488,31.592,29.488,31.592,0.202,1.266,0.790,0.488
9,39.654,0,29.159,32.004,29.159,32.004,0.459,1.293,0.773,0.756
10,61.970,0,28.830,31.678,28.830,31.678,0.713,1.281,0.781,0.851
11,43.945,0,29.214,30.563,29.214,30.563,0.810,1.340,0.746,0.897
12,46.864,0,29.023,29.639,29.023,29.639,0.593,1.888,0.530,0.798
13,60.596,0,28.854,27.755,28.854,27.755,0.712,1.416,0.706,0.867
14,82.569,0,28.355,26.789,28.355,26.789,0.530,1.486,0.673,0.766
15,64.888,0,27.766,27.470,27.766,27.470,0.344,1.612,0.620,0.657
16,54.073,0,26.987,26.395,26.987,26.395,0.401,1.279,0.782,0.675
17,67.120,0,27.009,26.473,27.009,26.473,0.654,1.596,0.627,0.839
18,82.912,0,27.828,26.934,27.828,26.934,0.396,1.484,0.674,0.697
19,62.313,0,29.083,25.965,29.083,25.965,0.235,1.358,0.736,0.672
20,43.087,0,28.061,26.217,28.061,26.217,0.257,1.192,0.839,0.646
21,63.343,0,28.119,25.666,28.119,25.666,0.489,1.369,0.731,0.283
22,73.128,0,28.830,25.297,28.830,25.297,0.639,1.097,0.912,0.825
23,45.662,0,27.664,25.397,27.664,25.397,0.250,1.211,0.826,0.639
24,47.550,0,27.178,25.001,27.178,25.001,0.259,1.199,0.834,0.647
25,69.695,0,26.858,24.380,26.858,24.380,0.805,1.131,0.884,0.905
26,64.716,0,27.575,24.307,27.575,24.307,0.824,1.214,0.824,0.905
27,42.744,0,26.128,23.660,26.128,23.660,0.284,1.587,0.630,0.674
28,61.455,0,27.441,23.805,27.441,23.805,0.695,1.244,0.804,0.898
29,55.962,0,27.096,24.006,27.096,24.006,0.626,1.056,0.947,0.850
30,39.654,0,27.014,24.134,27.014,24.134,0.259,1.111,0.900,0.675
31,33.131,0,26.327,23.390,26.327,23.390,0.283,1.116,0.896,0.658
