 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,54.417,0,17.905,27.818,17.905,27.818,0.158,2.409,0.415,0.387
2,1767.426,255,20.509,21.545,20.509,21.545,0.135,1.051,0.952,1.000
3,53.043,0,20.439,26.859,20.439,26.859,0.136,1.511,0.662,0.375
4,79.823,0,19.944,26.910,19.944,26.910,0.502,1.419,0.705,0.748
5,72.441,0,20.461,27.295,20.461,27.295,0.278,1.474,0.678,0.693
6,60.940,0,20.690,26.588,20.690,26.588,0.653,2.013,0.497,0.869
7,74.501,0,19.771,25.148,19.771,25.148,0.547,1.654,0.605,0.841
8,64.888,0,19.263,24.650,19.263,24.650,0.593,1.871,0.535,0.807
9,56.820,0,20.953,25.406,20.953,25.406,0.600,2.133,0.469,0.805
10,58.193,0,21.490,25.140,21.490,25.140,0.638,1.793,0.558,0.833
11,62.656,0,20.647,24.774,20.647,24.774,0.472,2.081,0.481,0.716
12,62.141,0,22.206,25.306,22.206,25.306,0.483,2.146,0.466,0.770
13,69.695,0,21.531,25.483,21.531,25.483,0.492,1.784,0.560,0.740
14,65.575,0,21.452,25.882,21.452,25.882,0.485,1.404,0.712,0.712
15,61.970,0,21.397,24.396,21.397,24.396,0.566,1.469,0.681,0.781
16,63.000,0,21.157,24.806,21.157,24.806,0.617,1.642,0.609,0.824
17,76.046,0,21.445,24.389,21.445,24.389,0.469,1.492,0.670,0.732
18,73.128,0,20.779,25.453,20.779,25.453,0.507,1.685,0.593,0.769
19,70.553,0,22.377,25.222,22.377,25.222,0.337,1.522,0.657,0.628
20,63.858,0,20.497,25.434,20.497,25.434,0.306,2.685,0.373,0.612
21,52.185,0,19.650,25.077,19.650,25.077,0.503,2.008,0.498,0.759
22,58.365,0,20.333,25.486,20.333,25.486,0.393,2.095,0.477,0.629
23,61.455,0,21.903,24.668,21.903,24.668,0.607,1.853,0.540,0.781
24,47.550,0,22.002,24.749,22.002,24.749,0.499,2.060,0.486,0.749
25,54.588,0,21.766,25.795,21.766,25.795,0.597,2.016,0.496,0.840
26,52.872,0,21.103,25.127,21.103,25.127,0.643,1.445,0.692,0.852
27,46.349,0,20.428,25.355,20.428,25.355,0.530,1.483,0.674,0.613
28,59.738,0,20.472,25.413,20.472,25.413,0.440,1.197,0.835,0.638
29,61.283,0,21.705,25.422,21.705,25.422,0.499,1.378,0.725,0.729
30,53.558,0,21.958,26.782,21.958,26.782,0.523,2.018,0.496,0.765
31,47.207,0,21.315,24.913,21.315,24.913,0.626,1.226,0.816,0.780
