 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,1484.528,255,19.059,19.473,19.059,19.473,0.135,1.022,0.979,1.000
2,1484.528,255,19.059,19.473,19.059,19.473,0.135,1.022,0.979,1.000
3,80.166,0,20.026,15.764,20.026,15.764,0.417,1.202,0.832,0.807
4,90.809,0,20.431,15.133,20.431,15.133,0.541,1.462,0.684,0.869
5,65.746,0,21.183,15.346,21.183,15.346,0.669,1.080,0.926,0.884
6,82.569,0,22.509,16.733,22.509,16.733,0.236,1.349,0.741,0.693
7,96.817,0,21.558,15.795,21.558,15.795,0.215,1.171,0.854,0.654
8,103.512,0,22.056,15.805,22.056,15.805,0.210,1.335,0.749,0.625
9,97.504,0,20.235,16.315,20.235,16.315,0.161,1.329,0.753,0.625
10,102.825,0,21.447,16.532,21.447,16.532,0.195,1.166,0.857,0.662
11,107.975,0,22.264,17.952,22.264,17.952,0.189,1.185,0.844,0.693
12,95.959,0,20.161,17.104,20.161,17.104,0.183,1.022,0.978,0.689
13,84.286,0,20.283,18.257,20.283,18.257,0.129,1.204,0.831,0.692
14,98.190,0,20.196,19.014,20.196,19.014,0.129,1.051,0.951,0.605
15,98.705,0,19.889,17.897,19.889,17.897,0.247,1.343,0.745,0.758
16,80.681,0,21.120,18.084,21.120,18.084,0.157,1.100,0.909,0.609
17,105.572,0,20.806,18.484,20.806,18.484,0.150,1.170,0.854,0.645
18,91.324,0,20.859,18.528,20.859,18.528,0.151,1.066,0.939,0.700
19,97.675,0,21.359,17.681,21.359,17.681,0.142,1.194,0.837,0.606
20,99.735,0,19.203,18.229,19.203,18.229,0.246,1.449,0.690,0.760
21,88.062,0,20.803,18.580,20.803,18.580,0.304,1.538,0.650,0.761
22,86.689,0,21.496,19.383,21.496,19.383,0.109,1.157,0.864,0.621
23,77.076,0,20.430,19.127,20.430,19.127,0.192,1.390,0.720,0.660
24,70.553,0,20.154,20.378,20.154,20.378,0.370,1.672,0.598,0.789
25,77.934,0,20.711,21.379,20.711,21.379,0.184,1.551,0.645,0.631
26,71.583,0,22.204,23.257,22.204,23.257,0.556,1.662,0.602,0.842
27,53.215,0,22.798,22.074,22.798,22.074,0.500,1.970,0.508,0.763
28,57.335,0,22.308,22.309,22.308,22.309,0.426,1.423,0.703,0.691
29,72.269,0,23.027,22.645,23.027,22.645,0.400,1.682,0.595,0.685
30,53.902,0,22.365,23.140,22.365,23.140,0.610,1.739,0.575,0.787
31,47.035,0,20.994,23.647,20.994,23.647,0.694,1.151,0.869,0.814
